Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
58IS,"ON CALL",HELIPORT,Y-L
04IS,IREG,AIRPORT,Y
DNV,ALL/ALL/0700-2200,AIRPORT,Y-L
43IL,ALL/ALL/0600-2300,HELIPORT,Y-L
MWA,ALL/ALL/ALL,AIRPORT,Y-L
IL61,UNATNDD,HELIPORT,Y
9IL0,UNATNDD,AIRPORT,Y
8IS8,ALL/ALL/ALL,HELIPORT,Y-L
IS15,UNATNDD,AIRPORT,Y
IS41,ALL/ALL/ALL,AIRPORT,Y
67IS,ALL/ALL/ALL,HELIPORT,Y
49IL,IREG,AIRPORT,Y
64IL,UNATNDD,AIRPORT,Y
2LL8,ALL/ALL/ALL,HELIPORT,Y-L
2IL2,UNATNDD,AIRPORT,Y
UGN,ALL/ALL/ALL,AIRPORT,Y-L
4IL2,UNATNDD,AIRPORT,Y
IL87,IREG,AIRPORT,Y
4IS9,UNATNDD,AIRPORT,Y
2LL2,IREG,AIRPORT,Y
9IL6,UNATNDD,AIRPORT,Y
IL00,IREG,HELIPORT,Y
28IL,ALL/ALL/IRREG,AIRPORT,Y
IL70,UNATNDD,HELIPORT,Y
31LL,IREG,HELIPORT,Y
6LL4,IREG,AIRPORT,Y
01IS,UNATNDD,AIRPORT,Y
IL52,UNATNDD,AIRPORT,Y
30LL,IREG,AIRPORT,Y
6LL0,UNATNDD,AIRPORT,Y
44IL,IRREG,HELIPORT,Y
62IS,UNATNDD,AIRPORT,Y
38IS,UNATNDD,AIRPORT,
IS57,UNATNDD,AIRPORT,Y
03IL,UNATNDD,AIRPORT,Y
IL01,UNATNDD,AIRPORT,Y
IS65,ALL/ALL/IREG,AIRPORT,Y-L
IL29,UNATNDD,AIRPORT,Y
5K1,IREG,AIRPORT,Y-L
1LL8,IREG,AIRPORT,Y
90KY,UNATNDD,HELIPORT,Y
0ME4,UNATNDD,AIRPORT,Y
9CA6,UNATNDD,AIRPORT,Y
0NY2,12/7/24,HELIPORT,Y-L
7NY8,UNATT,AIRPORT,
21PN,UNATNDD,HELIPORT,Y
4C7,UNATNDD,AIRPORT,Y
75IA,UNATNDD,HELIPORT,
4C8,UNATNDD,AIRPORT,Y-L
AXA,ALL/SAT/0800-1200,AIRPORT,Y-L
AXA,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
IA29,UNATNDD,HELIPORT,Y-L
K98,UNATNDD,AIRPORT,Y
C11,MAR-NOV/IREG/IREG,AIRPORT,Y
AMW,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
19IA,UNATNDD,AIRPORT,Y
IA54,UNATNDD,AIRPORT,
Y43,UNATNDD,AIRPORT,Y-L
IKV,ALL/ALL/0600-2100,AIRPORT,Y-L
IA27,ALL/ALL/DALGT,AIRPORT,Y
0IA9,UNATNDD,HELIPORT,N
CIN,ALL/ALL/0800-DUSK,AIRPORT,Y-L
AIO,ALL/SAT/0800-1200,AIRPORT,Y-L
AIO,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
ADU,UNATNDD,AIRPORT,Y-L
0IA2,ALL/ALL/ALL,HELIPORT,Y-L
IA58,UNATNDD,AIRPORT,Y
34IA,UNATNDD,AIRPORT,
Y46,UNATNDD,AIRPORT,Y
IA31,UNATNDD,AIRPORT,N
TZT,UNATNDD,AIRPORT,Y-L
Y48,UNATNDD,AIRPORT,Y-L
4K6,ALL/SAT/0900-1200,AIRPORT,Y-L
4K6,ALL/MON-FRI/0830-1730,AIRPORT,Y-L
02IA,UNATNDD,HELIPORT,Y-L
BNW,ALL/ALL/0800-1700,AIRPORT,Y-L
6IA4,UNATNDD,HELIPORT,Y
2IA8,UNATNDD,HELIPORT,Y-L
1IA2,UNATNDD,HELIPORT,N
IA67,ALL/ALL/ALL,HELIPORT,Y-L
TVK,ALL/SAT-SUN/UNATNDD,AIRPORT,Y-L
TVK,"ALL/MON - FRI/0800-1630",AIRPORT,Y-L
CNC,"ALL/ALL/ON CALL",AIRPORT,Y-L
CKP,ALL/SAT/0800-1200,AIRPORT,Y-L
CKP,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
IA13,ALL/ALL/ALL,HELIPORT,Y
IA33,UNATNDD,HELIPORT,Y-L
CAV,UNATNDD,AIRPORT,Y-L
6IA9,UNATNDD,HELIPORT,Y-L
CWI,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
2IA4,ALL/ALL/ALL,HELIPORT,Y
CRZ,UNATNDD,AIRPORT,Y-L
0E9,ALL/ALL/SR-SS,AIRPORT,Y
CBF,ALL/ALL/0700-2000,AIRPORT,Y-L
99IA,UNATNDD,AIRPORT,
CSQ,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
CSQ,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
IA45,UNATNDD,AIRPORT,Y
DVN,ALL/ALL/0630-DUSK,AIRPORT,Y-L
63IA,UNATNDD,HELIPORT,Y-L
6IA0,UNATNDD,HELIPORT,Y
DEH,"ALL/SUN/ON CALL",AIRPORT,Y-L
DEH,ALL/MON-SAT/ALL,AIRPORT,Y-L
DNS,"ALL/MON - FRI/0800-1700",AIRPORT,Y-L
DSM,ALL/ALL/ALL,AIRPORT,Y-L
58IA,UNATNDD,AIRPORT,
2Y1,UNATNDD,AIRPORT,Y
DBQ,ALL/ALL/0600-2200,AIRPORT,Y-L
IA8,UNATNDD,AIRPORT,Y
EAG,UNATNDD,AIRPORT,Y-L
IA63,IREG,AIRPORT,Y
I27,IREG,AIRPORT,Y
CJJ,UNATNDD,AIRPORT,Y-L
EGQ,ALL/ALL/IRREGULAR,AIRPORT,Y-L
EST,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
FFL,ALL/MON-FRI/0730-1630,AIRPORT,Y-L
FFL,"ALL/SAT - SUN/ON CALL",AIRPORT,Y-L
IA56,UNATNDD,AIRPORT,Y
2IA1,ALL/ALL/ALL,HELIPORT,Y-L
4IA3,ALL/ALL/ALL,HELIPORT,Y
10IA,UNATNDD,AIRPORT,Y
FXY,ALL/MON-FRI/0800-1730,AIRPORT,Y-L
FOD,ALL/ALL/0400-1730,AIRPORT,Y-L
FSW,"ALL/MON-SUN/ON CALL",AIRPORT,Y-L
IA70,UNATNDD,AIRPORT,Y
4D8,UNATNDD,AIRPORT,Y-L
IA23,UNATNDD,AIRPORT,Y
2IA0,ALL/ALL/ALL,HELIPORT,Y
IA81,UNATNDD,HELIPORT,N
3Y2,UNATNDD,AIRPORT,Y-L
2IA5,UNATNDD,HELIPORT,Y
4IA0,UNATNDD,HELIPORT,Y-L
45IA,UNATNDD,HELIPORT,Y
IA24,ALL/ALL/0800-1700,AIRPORT,Y
3IA2,"ON CALL",HELIPORT,Y-L
GFZ,UNATNDD,AIRPORT,Y-L
GGI,ALL/SAT/0800-1200,AIRPORT,Y-L
GGI,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
IA09,ALL/ALL/ALL,HELIPORT,
6K7,UNATNDD,AIRPORT,Y-L
GCT,UNATNDD,AIRPORT,Y-L
IA60,UNATNDD,HELIPORT,
HPT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
0IA8,UNATNDD,AIRPORT,Y
HNR,APR-SEP/MON-FRI/0800-1700,AIRPORT,Y-L
HNR,OCT-MAR/MON-FRI/0800-1600,AIRPORT,Y-L
73IA,UNATNDD,AIRPORT,Y
IA95,ALL/ALL/ALL,HELIPORT,
IA86,UNATNDD,AIRPORT,
8IA1,UNATNDD,HELIPORT,Y
29IA,UNATNDD,AIRPORT,
20IA,UNATNDD,AIRPORT,
IA37,UNATNDD,HELIPORT,Y
IA90,UNATNDD,HELIPORT,Y
0K7,UNATNDD,AIRPORT,Y-L
39IA,ALL/ALL/0800-DUSK,AIRPORT,Y
IDG,"ALL/ALL/ON CALL",AIRPORT,Y-L
IA71,UNATNDD,HELIPORT,Y
IOW,ALL/ALL/0630-2030,AIRPORT,Y-L
IFA,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
IA98,UNATNDD,HELIPORT,Y
IA64,ALL/ALL/ALL,HELIPORT,Y
4IA5,UNATNDD,HELIPORT,Y-L
24IA,UNATNDD,AIRPORT,Y
MEY,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
IIB,ALL/ALL/0700-DUSK,AIRPORT,Y-L
7IA6,UNATNDD,HELIPORT,Y
EFW,"/ /UNATNDD",AIRPORT,Y-L
6IA2,UNATNDD,HELIPORT,
1Y3,UNATNDD,AIRPORT,Y-L
83IA,UNATNDD,HELIPORT,
EOK,ALL/MON-FRI/0800-1630,AIRPORT,Y-L
6K9,ALL/SAT-SUN/0900-1300,AIRPORT,Y
6K9,ALL/MON-FRI/0900-1700,AIRPORT,Y
IA48,UNATNDD,AIRPORT,N
IA30,UNATNDD,AIRPORT,Y
0IA0,ALL/ALL/ALL,HELIPORT,Y
OXV,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
11IA,UNATNDD,AIRPORT,Y
IA83,UNATNDD,AIRPORT,Y
0Y6,UNATNDD,AIRPORT,Y-L
42IA,UNATNDD,AIRPORT,
IA99,UNATNDD,HELIPORT,Y
LWD,UNATNDD,AIRPORT,Y-L
IA41,UNATNDD,AIRPORT,Y
IA84,UNATNDD,AIRPORT,Y
LRJ,"ALL/SAT- SUN/PRIOR REQUEST",AIRPORT,Y-L
LRJ,ALL/MON-FRI/0800-1730,AIRPORT,Y-L
6IA1,UNATNDD,HELIPORT,
IA19,UNATNDD,HELIPORT,
93IA,UNATNDD,AIRPORT,
IA34,ALL/ALL/ALL,HELIPORT,Y-L
C27,"ON CALL",AIRPORT,Y-L
OQW,UNATNDD,AIRPORT,Y-L
C17,ALL/ALL/ALL,AIRPORT,Y-L
MIW,ALL/ALL/0800-1700,AIRPORT,Y-L
MCW,ALL/ALL/0700-1700,AIRPORT,Y-L
8C4,"/ /UNATNDD",AIRPORT,Y-L
2IA3,ALL/ALL/ALL,HELIPORT,Y-L
IA72,UNATNDD,HELIPORT,Y
IA57,ALL/ALL/ALL,HELIPORT,
IA82,ALL/ALL/ALL,HELIPORT,Y
IA25,UNATNDD,HELIPORT,Y-L
7IA5,UNATNDD,HELIPORT,Y-L
IA10,UNATNDD,HELIPORT,Y
2IA2,ALL/ALL/ALL,HELIPORT,Y
5IA2,ALL/ALL/ALL,HELIPORT,Y-L
IA50,ALL/ALL/ALL,HELIPORT,Y
IA96,ALL/ALL/ALL,HELIPORT,Y-L
04IA,UNATNDD,AIRPORT,N
90IA,UNATNDD,AIRPORT,Y
7IA7,ALL/ALL/ALL,AIRPORT,Y
6IA8,UNATNDD,HELIPORT,
7C3,UNATNDD,AIRPORT,Y-L
IA22,UNATNDD,HELIPORT,Y-L
IA91,ALL/ALL/ALL,HELIPORT,Y
MXO,ALL/ALL/0730-1830,AIRPORT,Y-L
0IA5,UNATNDD,AIRPORT,Y
MPZ,ALL/SAT-SUN/ON-CALL,AIRPORT,Y-L
MPZ,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
MUT,"ALL/SAT - SUN/0800-1600",AIRPORT,Y-L
MUT,"ALL/MON - FRI/0700-1800",AIRPORT,Y-L
IA55,ALL/ALL/ALL,HELIPORT,Y
6Z6,IREG,AIRPORT,Y
1Y5,UNATNDD,AIRPORT,Y
TNU,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
TNU,ALL/MON-FRI/0730-1800,AIRPORT,Y-L
IA97,UNATNDD,AIRPORT,Y
CCY,ALL/MON-SAT/0700-1700,AIRPORT,Y-L
CCY,ALL/SUN/0800-1600,AIRPORT,Y-L
5D2,UNATNDD,AIRPORT,Y-L
OLZ,ALL/MON-SAT/0800-DUSK,AIRPORT,Y-L
27IA,UNATNDD,AIRPORT,Y
D02,UNATNDD,AIRPORT,Y
IA40,UNATNDD,HELIPORT,Y
I75,"NOV-MAR/MON - FRI/0800-1400",AIRPORT,Y-L
I75,"APR-OCT/MON - FRI/0800-1500",AIRPORT,Y-L
OOA,"ALL/SUNDAY/1200 - 1700",AIRPORT,Y-L
OOA,"OCT-APR/MON - SAT/0800-1700",AIRPORT,Y-L
OOA,"MAY-SEP/MON - SAT/0800-1800",AIRPORT,Y-L
3IA6,ALL/ALL/ALL,HELIPORT,Y-L
OTM,ALL/ALL/0700-2000,AIRPORT,Y-L
IA79,UNATNDD,HELIPORT,
1Y9,UNATNDD,AIRPORT,Y-L
PEA,ALL/SUN/0900-1700,AIRPORT,Y-L
PEA,ALL/MON-SAT/0700-DUSK,AIRPORT,Y-L
7IA9,UNATNDD,HELIPORT,Y
PRO,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
PRO,ALL/SUN/0900-1600,AIRPORT,Y-L
8IA8,UNATNDD,AIRPORT,
IA16,UNATNDD,AIRPORT,Y
12IA,UNATNDD,AIRPORT,
POH,UNATNDD,AIRPORT,Y-L
IA88,IREG,HELIPORT,Y
RDK,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
06IA,UNATNDD,AIRPORT,Y
IA01,UNATNDD,AIRPORT,
IA08,UNATNDD,AIRPORT,
RRQ,ALL/SAT/0900-1200,AIRPORT,Y-L
RRQ,ALL/MON-FRI/0900-1700,AIRPORT,Y-L
2Y4,UNATNDD,AIRPORT,Y-L
6IA7,UNATNDD,AIRPORT,
IA35,UNATNDD,AIRPORT,N
SKI,ALL/MON-FRI/0800-1600,AIRPORT,Y-L
5IA8,ALL/ALL/ALL,HELIPORT,Y
1IA5,UNATNDD,HELIPORT,N
ICL,ALL/ALL/0800-1700,AIRPORT,Y-L
0IA4,UNATNDD,AIRPORT,Y
SHL,"ALL/SAT - SUN/ON CALL",AIRPORT,Y-L
SHL,"ALL/MON - FRI/0730 - 1700",AIRPORT,Y-L
23IA,UNATNDD,HELIPORT,
SDA,"ALL/MON - SAT/0800-1700",AIRPORT,Y-L
ISB,"ALL/MON - FRI/0600-1800",AIRPORT,Y-L
7C5,UNATNDD,AIRPORT,Y
SXK,ALL/SAT/0800-1200,AIRPORT,Y-L
SXK,ALL/MON-FRI/0600-1800,AIRPORT,Y-L
SUX,ALL/MON-SUN/0500-2200,AIRPORT,Y-L
5IA0,UNATNDD,HELIPORT,Y
09IA,UNATNDD,AIRPORT,Y
2IA9,ALL/ALL/ALL,AIRPORT,Y
BRL,ALL/ALL/0700-1900,AIRPORT,Y-L
SPW,ALL/MON-FRI/0700-1900,AIRPORT,Y-L
SPW,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
1IA3,ALL/ALL/ALL,HELIPORT,N
0F3,MAY-SEP/ALL/IRREG,AIRPORT,Y-L
05IA,IREG,AIRPORT,Y
16IA,UNATNDD,AIRPORT,Y
0IA1,UNATNDD,HELIPORT,Y
15IA,UNATNDD,AIRPORT,
2IA6,UNATNDD,HELIPORT,N
IA73,UNATNDD,HELIPORT,Y
6IA3,UNATNDD,HELIPORT,Y
SLB,"OCT - MAY/MON - SAT/0900 - 1700",AIRPORT,Y-L
SLB,"JUNE - SEPT/MON-SAT/0800-1700",AIRPORT,Y-L
8C2,UNATNDD,AIRPORT,Y
53IA,UNATNDD,AIRPORT,N
CID,ALL/SAT-SUN/0430-2200,AIRPORT,Y-L
CID,ALL/MON-FRI/0430-2300,AIRPORT,Y-L
8C5,UNATNDD,AIRPORT,Y
IA11,ALL/ALL/DALGT,AIRPORT,Y
8C6,UNATNDD,AIRPORT,Y-L
IA74,ALL/ALL/ALL,HELIPORT,Y
IA85,UNATNDD,AIRPORT,Y
8IA0,UNATNDD,HELIPORT,Y-L
1IA7,ALL/ALL/ALL,HELIPORT,Y-L
IA92,ALL/ALL/ALL,HELIPORT,Y-L
VTI,ALL/ALL/0900-1800,AIRPORT,Y-L
IA78,ALL/ALL/ALL,HELIPORT,
97IA,UNATNDD,AIRPORT,Y
4IA2,UNATNDD,AIRPORT,Y
1IA4,UNATNDD,ULTRALIGHT,Y
3IA0,ALL/ALL/ALL,HELIPORT,Y-L
AWG,ALL/MON-THURS/0700-1500,AIRPORT,Y-L
ALO,ALL/ALL/0500-2300,AIRPORT,Y-L
Y01,UNATNDD,AIRPORT,Y-L
C25,ALL/SUN/1200-1700,AIRPORT,Y-L
C25,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
IA46,UNATNDD,HELIPORT,Y
EBS,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
EBS,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
6IA6,UNATNDD,AIRPORT,Y
IA04,ALL/ALL/ALL,HELIPORT,Y
3Y3,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
3Y3,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
4IA7,UNATNDD,AIRPORT,
3Y4,UNATNDD,AIRPORT,Y
IA89,ALL/ALL/ALL,HELIPORT,Y
2VA,"ALL/ALL/ON CALL",AIRPORT,Y
SPI,ALL/ALL/0530-0000,AIRPORT,Y-L
0IS9,ALL/ALL/DAWN-DUSK,HELIPORT,Y
3LS7,UNATNDD,AIRPORT,
98LL,UNATNDD,AIRPORT,Y
8IL3,UNATNDD,AIRPORT,Y
IS96,ALL/ALL/ALL,HELIPORT,Y
IL42,ALL/ALL/ALL,HELIPORT,Y-L
IS39,UNATNDD,HELIPORT,Y
IS46,ALL/ALL/ALL,HELIPORT,Y-L
15LL,UNATNDD,AIRPORT,
4LL8,UNATNDD,AIRPORT,
IS21,UNATNDD,HELIPORT,Y
72IL,UNATNDD,HELIPORT,Y-L
IS22,UNATNDD,HELIPORT,Y
IS08,IREG,AIRPORT,Y
6IS0,UNATNDD,AIRPORT,Y
7LL7,UNATNDD,AIRPORT,Y
IS02,UNATNDD,AIRPORT,Y
85IL,UNATNDD,AIRPORT,Y
IL53,IREG,AIRPORT,Y
IL26,ALL/ALL/ALL,HELIPORT,
IL83,UNATNDD,AIRPORT,Y
3IS7,UNATNDD,AIRPORT,Y
C16,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
5LL7,ALL/ALL/ALL,AIRPORT,Y
6IL9,UNATNDD,AIRPORT,Y
2LL9,UNATNDD,AIRPORT,Y
5LL5,UNATNDD,AIRPORT,Y
9IL4,UNATNDD,AIRPORT,Y
IL02,UNATNDD,AIRPORT,Y
IS56,UNATNDD,AIRPORT,Y
25IL,UNATNDD,AIRPORT,Y
5LL8,UNATNDD,AIRPORT,Y
34LL,ALL/ALL/ALL,HELIPORT,
IL20,ALL/ALL/ALL,HELIPORT,Y-L
7IL5,IREG,HELIPORT,Y
IS48,ALL/ALL/ALL,HELIPORT,
IS89,ALL/ALL/ALL,HELIPORT,Y-L
95IS,UNATNDD,AIRPORT,
4IS8,UNATNDD,AIRPORT,Y
56IS,UNATNDD,AIRPORT,Y
42IL,UNATNDD,HELIPORT,Y
IS54,UNATNDD,AIRPORT,N
54LL,ALL/ALL/ALL,HELIPORT,Y
05LL,UNATNDD,HELIPORT,Y
3LL0,UNATNDD,AIRPORT,Y
8LL8,ALL/ALL/ALL,HELIPORT,
20IS,UNATNDD,AIRPORT,Y
29LL,ALL/ALL/ALL,HELIPORT,
IS29,ALL/ALL/ALL,HELIPORT,Y-L
2T2,ALL/ALL/0800-DUSK,AIRPORT,Y-L
3LL4,UNATNDD,AIRPORT,Y
99IL,UNATNDD,AIRPORT,
4LL0,UNATNDD,AIRPORT,Y
3LL5,UNATNDD,AIRPORT,Y
54IL,ALL/ALL/IREG,AIRPORT,Y-L
62LL,UNATNDD,HELIPORT,Y-L
55LL,IREG,AIRPORT,Y
SAR,ALL/SAT/0800-1500,AIRPORT,Y-L
SAR,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
4LL1,UNATNDD,AIRPORT,Y
53IL,UNATNDD,AIRPORT,Y
3IL3,IREG,HELIPORT,Y-L
97IS,UNATNDD,HELIPORT,Y
3LL7,UNATNDD,HELIPORT,Y
LL38,UNATNDD,AIRPORT,
27LL,ALL/ALL/DALGT,AIRPORT,Y
2LL0,UNATNDD,HELIPORT,
TAZ,ALL/MON-FRI/0900-1700,AIRPORT,Y-L
LL34,IREG,AIRPORT,
4IL3,UNATNDD,AIRPORT,Y
2C6,"ON CALL",AIRPORT,Y-L
IS23,UNATNDD,"SEAPLANE BASE",
K96,ALL/MON-FRI/IRREGULAR,AIRPORT,Y-L
K96,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
VLA,ALL/IRREGULAR/,AIRPORT,Y-L
32IL,UNATNDD,HELIPORT,
7LL2,UNATNDD,HELIPORT,Y-L
7LL1,ALL/ALL/ALL,HELIPORT,Y-L
56LL,UNATNDD,AIRPORT,
IS99,UNATNDD,HELIPORT,
5IS6,UNATNDD,HELIPORT,Y
SQI,ALL/ALL/0800-1700,AIRPORT,Y-L
4LL7,UNATNDD,AIRPORT,N
IS33,IREG,AIRPORT,Y
LL52,IRREG,AIRPORT,Y
5IL8,UNATNDD,AIRPORT,Y
6LL2,UNATNDD,AIRPORT,Y
48IN,UNATNDD,HELIPORT,
IN45,ALL/ALL/DALGT,AIRPORT,Y
IN52,UNATNDD,HELIPORT,Y
56II,UNATNDD,HELIPORT,Y
1IN8,UNATNDD,HELIPORT,Y-L
5II9,IREG,AIRPORT,Y
0IN4,UNATNDD,AIRPORT,Y
I99,IREG,AIRPORT,Y
IN03,UNATNDD,AIRPORT,Y
68IN,UNATNDD,AIRPORT,Y
8II8,ALL/M-F/8AM-4PM,HELIPORT,Y
AID,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
AID,ALL/MON-FRI/0700-1800,AIRPORT,Y-L
RWN,ALL/MON-FRI/0900-1700,AIRPORT,Y-L
3II7,ALL/ALL/0700-2300,HELIPORT,Y
IN11,UNATNDD,AIRPORT,Y
II26,UNATNDD,AIRPORT,Y
2II6,ALL/ALL/0800-DUSK,AIRPORT,Y
4IN5,UNATNDD,AIRPORT,
IN74,ALL/ALL/ALL,HELIPORT,Y
9IN4,UNATNDD,AIRPORT,
01L,UNATNDD,"SEAPLANE BASE",
3II3,UNATNDD,AIRPORT,
HLB,ALL/MON-FRI/0800-1700,AIRPORT,Y
73IN,UNATNDD,AIRPORT,Y
6II7,UNATNDD,AIRPORT,Y
IN22,UNATNDD,HELIPORT,Y
2IN9,UNATNDD,AIRPORT,Y
3II8,UNATNDD,AIRPORT,N
II85,UNATNDD,AIRPORT,Y
IG03,UNATNDD,AIRPORT,Y
IN70,UNATNDD,AIRPORT,Y
6I4,ALL/ALL/IRREGULAR,AIRPORT,Y-L
I91,IREG,AIRPORT,Y
1IN5,UNATNDD,AIRPORT,N
IN85,UNATNDD,AIRPORT,Y
77II,UNATNDD,ULTRALIGHT,Y
0I2,UNATNDD,AIRPORT,Y-L
II93,UNATNDD,AIRPORT,
12I,UNATNDD,"SEAPLANE BASE",
8IN7,UNATNDD,AIRPORT,
II03,UNATNDD,AIRPORT,
15IN,UNATNDD,AIRPORT,
34II,UNATNDD,AIRPORT,
2II5,ALL/MON-FRI/0800-1700,HELIPORT,Y
IN46,UNATNDD,AIRPORT,Y
0IN5,ALL/ALL/ALL,AIRPORT,Y
54II,UNATNDD,AIRPORT,
IG00,ALL/ALL/ALL,HELIPORT,Y-L
20IN,UNATNDD,AIRPORT,
58II,UNATNDD,AIRPORT,
IN56,UNATNDD,AIRPORT,Y
56IN,UNATNDD,AIRPORT,N
28II,UNATNDD,AIRPORT,Y
3IN7,MAR-NOV/ALL/DAWN-DUSK,AIRPORT,Y
II48,UNATNDD,HELIPORT,Y
40IN,UNATNDD,AIRPORT,N
0II0,UNATNDD,AIRPORT,Y
IN73,ALL/ALL/ALL,HELIPORT,Y-L
JVY,ALL/ALL/0600-2300,AIRPORT,Y-L
IN66,UNATNDD,HELIPORT,Y
57P,UNATNDD,"SEAPLANE BASE",
68II,UNATNDD,HELIPORT,Y
II07,UNATNDD,AIRPORT,N
BAK,ALL/ALL/0600-2000,AIRPORT,Y-L
2IN7,ALL/ALL/ALL,HELIPORT,Y
01IN,UNATNDD,HELIPORT,Y
IN28,UNATNDD,HELIPORT,Y
8IN8,UNATNDD,HELIPORT,
1IN3,UNATNDD,AIRPORT,Y
1I8,UNATNDD,AIRPORT,Y
05IN,UNATNDD,AIRPORT,
99II,UNATNDD,AIRPORT,Y
1IN6,UNATNDD,AIRPORT,Y
CFJ,ALL/ALL/0900-1700,AIRPORT,Y-L
I58,UNATNDD,"SEAPLANE BASE",
9II4,UNATNDD,AIRPORT,Y
3IN9,UNATNDD,AIRPORT,
II43,UNATNDD,AIRPORT,
II12,UNATNDD,AIRPORT,N
DCY,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
03II,UNATNDD,ULTRALIGHT,Y
3IN8,UNATNDD,AIRPORT,Y
16IN,IREG,HELIPORT,Y
IN94,UNATNDD,HELIPORT,Y
IN35,ALL/ALL/ALL,HELIPORT,
4II0,UNATNDD,AIRPORT,Y
GWB,ALL/ALL/0700-2100,AIRPORT,Y-L
MIE,ALL/ALL/0600-2200,AIRPORT,Y-L
1I9,IRREG,AIRPORT,Y-L
02IN,ALL/ALL/ALL,AIRPORT,Y
3II9,MAY-SEP/ALL/DALGT,AIRPORT,Y
IN99,UNATNDD,AIRPORT,Y
4IN6,UNATNDD,HELIPORT,
17II,UNATNDD,AIRPORT,Y
II91,UNATNDD,AIRPORT,Y
IN12,IREG,AIRPORT,Y
9IN5,UNATNDD,HELIPORT,
IN29,UNATNDD,AIRPORT,Y
II68,UNATNDD,AIRPORT,
EYE,ALL/ALL/0700-DUSK,AIRPORT,Y-L
4IN3,UNATNDD,HELIPORT,
II74,ALL/ALL/ALL,AIRPORT,
I20,IREG,AIRPORT,Y
EKM,ALL/ALL/0600-2200,AIRPORT,Y-L
35IN,ALL/MON-FRI/0800-1700,AIRPORT,Y
4II5,UNATNDD,HELIPORT,Y-L
60IN,UNATNDD,HELIPORT,Y-L
EVV,ALL/ALL/ALL,AIRPORT,Y-L
37IN,UNATNDD,AIRPORT,Y
II06,UNATNDD,AIRPORT,
3II2,UNATNDD,ULTRALIGHT,Y
15II,UNATNDD,HELIPORT,Y
II77,IREG,AIRPORT,
6IN4,UNATNDD,AIRPORT,Y
5I2,UNATNDD,AIRPORT,Y-L
7IN2,UNATNDD,AIRPORT,
3IN0,UNATNDD,AIRPORT,Y
IN41,ALL/ALL/DALGT,AIRPORT,Y
II49,UNATNDD,AIRPORT,N
93IN,UNATNDD,AIRPORT,
IN82,UNATNDD,AIRPORT,Y
27II,UNATNDD,HELIPORT,
5II7,UNATNDD,HELIPORT,Y-L
FWA,ALL/ALL/0500-2300,AIRPORT,Y-L
62IN,UNATNDD,AIRPORT,
78II,UNATNDD,AIRPORT,
9II8,UNATNDD,AIRPORT,
7II2,ALL/ALL/ALL,HELIPORT,Y-L
2IN8,UNATNDD,HELIPORT,Y
72II,UNATNDD,HELIPORT,
7IN4,UNATNDD,HELIPORT,
9IN1,UNATNDD,HELIPORT,
76IN,UNATNDD,HELIPORT,
IN24,UNATNDD,HELIPORT,Y
IN40,"24 HRS / 7 DAYS",HELIPORT,
10II,UNATNDD,HELIPORT,Y
FKR,ALL/ALL/0800-1700,AIRPORT,Y-L
3FK,ALL/ALL/IREG,AIRPORT,Y-L
SER,ALL/ALL/0800-1630,AIRPORT,Y-L
FRH,ALL/MON-SAT/0900-1700,AIRPORT,Y-L
0II7,UNATNDD,AIRPORT,
38IN,UNATNDD,AIRPORT,Y
RCR,ALL/ALL/0800-1700,AIRPORT,Y-L
75IN,ALL/ALL/ALL,AIRPORT,Y
13IN,IREG,AIRPORT,Y-L
2IN6,UNATNDD,AIRPORT,
5I6,UNATNDD,AIRPORT,Y
7IN3,UNATNDD,AIRPORT,
GYY,ALL/ALL/ALL,AIRPORT,Y-L
7IN7,UNATNDD,AIRPORT,Y
2IN2,UNATNDD,AIRPORT,
9IN9,UNATNDD,AIRPORT,
