airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
TCM,"47-08-15.6400N 122-28-35.3100W
47-08.260667N 122-28.588500W
47.1376778,-122.4764750
(estimated)",322 ft. / 98 m (estimated),15E (2020),"3 miles S of TACOMA, WA",UTC -8 (UTC -7 during Daylight Saving Time),98439,Private use. Permission required prior to landing,08/1938,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,CONTINUOUS,10108 x 150 ft. / 3081 x 46 m,MAJOR,3000 x 60 ft. / 914 x 18 m,U.S. Air Force,Runway 16/34
TIW,"47-16-04.6000N 122-34-41.2000W
47-16.076667N 122-34.686667W
47.2679444,-122.5781111
(estimated)",294.8 ft. / 89.9 m (surveyed),20E (1990),"4 miles W of TACOMA, WA",UTC -8 (UTC -7 during Daylight Saving Time),98335,Open to the public,yes,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,TIW (NOTAM-D service available),1294.8 ft. MSL,5002 x 100 ft. / 1525 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 17/35
TIX,"28-30-53.3000N 080-47-57.2000W
28-30.888333N 080-47.953333W
28.5148056,-80.7992222
(estimated)",33.8 ft. / 10.3 m (surveyed),05W (2000),"5 miles S of TITUSVILLE, FL",UTC -5 (UTC -4 during Daylight Saving Time),32780,Open to the public,10/1944,yes,JACKSONVILLE CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,0700-2100,7319 x 150 ft. / 2231 x 46 m,hangars and tiedowns,5000 x 100 ft. / 1524 x 30 m,Publicly-owned,Runway 18/36
TKX,"36-13-33.1030N 090-02-11.9080W
36-13.551717N 090-02.198467W
36.2258619,-90.0366411
(estimated)",261.8 ft. / 79.8 m (surveyed),00E (2000),"1 mile SE of KENNETT, MO",UTC -6 (UTC -5 during Daylight Saving Time),63857,Open to the public,04/1940,no,MEMPHIS CENTER,SAINT LOUIS FLIGHT SERVICE STATION,"MON-SAT 0800-1700, ALL SUN 1300-1700",5000 x 75 ft. / 1524 x 23 m,tiedowns,3012 x 75 ft. / 918 x 23 m,Publicly-owned,Runway 2/20
TLH,"30-23-48.3150N 084-21-03.1280W
30-23.805250N 084-21.052133W
30.3967542,-84.3508689
(estimated)",83.1 ft. / 25.3 m (surveyed),05W (2020),"4 miles SW of TALLAHASSEE, FL",UTC -5 (UTC -4 during Daylight Saving Time),32310,Open to the public,09/1961,yes,JACKSONVILLE CENTER,GAINESVILLE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8000 x 150 ft. / 2438 x 46 m,7000 x 150 ft. / 2134 x 46 m,Runway 9/27
TME,"29-48-18.1000N 095-53-52.4000W
29-48.301667N 095-53.873333W
29.8050278,-95.8978889
(estimated)",165.9 ft. / 50.6 m (surveyed),04E (2010),"28 miles W of HOUSTON, TX",UTC -6 (UTC -5 during Daylight Saving Time),77493,Open to the public,yes,HOUSTON CENTER,MONTGOMERY COUNTY FLIGHT SERVICE STATION,CXO (NOTAM-D service available),lighted,6610 x 100 ft. / 2015 x 30 m,hangars and tiedowns,Privately-owned,  ,Runway 18/36
TMK,"45-25-05.7000N 123-48-51.8000W
45-25.095000N 123-48.863333W
45.4182500,-123.8143889
(estimated)",39.4 ft. / 12.0 m (surveyed),20E (1985),"3 miles S of TILLAMOOK, OR",UTC -8 (UTC -7 during Daylight Saving Time),97141,Open to the public,07/1943,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,0900-1700,100LL JET-A,,5001 x 75 ft. / 1524 x 23 m,2911 x 75 ft. / 887 x 23 m,Runway 13/31
TOA,"33-48-12.1783N 118-20-22.5875W
33-48.202972N 118-20.376458W
33.8033829,-118.3396076
(estimated)",103.2 ft. / 31.5 m (surveyed),14E (1970),"3 miles SW of TORRANCE, CA",UTC -8 (UTC -7 during Daylight Saving Time),90505,Open to the public,yes,LOS ANGELES CENTER,HAWTHORNE FLIGHT SERVICE STATION,TOA (NOTAM-D service available),lighted,5001 x 150 ft. / 1524 x 46 m,tiedowns,3000 x 75 ft. / 914 x 23 m,110 x 110 ft. / 34 x 34 m,Runway 11L/29R
TOL,"41-35-12.5400N 083-48-28.1760W
41-35.209000N 083-48.469600W
41.5868167,-83.8078267
(estimated)",683.9 ft. / 208.5 m (surveyed),05W (1990),"10 miles SW of TOLEDO, OH",UTC -5 (UTC -4 during Daylight Saving Time),43558,Open to the public,01/1955,yes,CLEVELAND CENTER,CLEVELAND FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A JET-A++,,10600 x 150 ft. / 3231 x 46 m,5599 x 150 ft. / 1707 x 46 m,Runway 7/25
TOP,"39-04-07.7628N 095-37-20.5533W
39-04.129380N 095-37.342555W
39.0688230,-95.6223759
(estimated)",881.3 ft. / 268.6 m (surveyed),05E (2000),"3 miles NE of TOPEKA, KS",UTC -6 (UTC -5 during Daylight Saving Time),66616,Open to the public,04/1940,yes,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,0700-2100,"100LL JET-A
100LL:FOR FUEL AFTER HOURS CALL 785-234-2602.",,5099 x 100 ft. / 1554 x 30 m,4331 x 75 ft. / 1320 x 23 m,Runway 13/31
TRI,"36-28-30.7480N 082-24-26.6950W
36-28.512467N 082-24.444917W
36.4752078,-82.4074153
(estimated)",1518.7 ft. / 462.9 m (surveyed),07W (2020),12 miles SW of central business district of the associated city,UTC -5 (UTC -4 during Daylight Saving Time),37617,Open to the public,12/1937,yes,ATLANTA CENTER,NASHVILLE FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,8000 x 150 ft. / 2438 x 46 m,4442 x 150 ft. / 1354 x 46 m,Runway 5/23
TRK,"39-19-12.2000N 120-08-22.5000W
39-19.203333N 120-08.375000W
39.3200556,-120.1395833
(estimated)",5904.3 ft. / 1799.6 m (surveyed),14E (2015),"2 miles E of TRUCKEE, CA",UTC -8 (UTC -7 during Daylight Saving Time),96161,Open to the public,10/1962,yes,OAKLAND CENTER,RENO FLIGHT SERVICE STATION,0700-2130,7001 x 100 ft. / 2134 x 30 m,WHEN ATCT CLSD.,4654 x 75 ft. / 1419 x 23 m,Publicly-owned,Runway 11/29
TRL,"32-42-30.5800N 096-16-01.5400W
32-42.509667N 096-16.025667W
32.7084944,-96.2670944
(estimated)",474.2 ft. / 144.5 m (surveyed),04E (2005),"1 mile SE of TERRELL, TX",UTC -6 (UTC -5 during Daylight Saving Time),75160,Open to the public,04/1941,no,FORT WORTH CENTER,FORT WORTH FLIGHT SERVICE STATION,"0800-2000
FOR ATTENDANT AFT HRS CALL 972-835-5395/5408.",100LL JET-A,,5006 x 75 ft. / 1526 x 23 m,Publicly-owned,Runway 18/36
