airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
PVU,"40-13-09.0000N 111-43-24.1000W
40-13.150000N 111-43.401667W
40.2191667,-111.7233611
(estimated)",4496.9 ft. / 1370.7 m (surveyed),12E (2010),"2 miles SW of PROVO, UT",UTC -7 (UTC -6 during Daylight Saving Time),84601,Open to the public,09/1942,yes,SALT LAKE CITY CENTER,CEDAR CITY FLIGHT SERVICE STATION,"JUN-OCT 0600-2200, NOV-MAY 0600-2100
FOR ARPT SVCS CTC 128.85.",8603 x 150 ft. / 2622 x 46 m,hangars and tiedowns,6628 x 150 ft. / 2020 x 46 m,Publicly-owned,Runway 13/31
RAP,"44-02-43.2000N 103-03-26.5000W
44-02.720000N 103-03.441667W
44.0453333,-103.0573611
(estimated)",3203.5 ft. / 976.4 m (surveyed),08E (2010),"8 miles SE of RAPID CITY, SD",UTC -7 (UTC -6 during Daylight Saving Time),57703,Open to the public,08/1950,yes,DENVER CENTER,HURON FLIGHT SERVICE STATION,CONTINUOUS,8701 x 150 ft. / 2652 x 46 m,hangars and tiedowns,3601 x 75 ft. / 1098 x 23 m,Publicly-owned,Runway 14/32
RBG,"43-14-21.6070N 123-21-21.0690W
43-14.360117N 123-21.351150W
43.2393353,-123.3558525
(estimated)",533.4 ft. / 162.6 m (surveyed),14E (2025),"1 mile NW of ROSEBURG, OR",UTC -8 (UTC -7 during Daylight Saving Time),97470,Open to the public,12/1938,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,0800-1700,5003 x 100 ft. / 1525 x 30 m,tiedowns,Publicly-owned,  ,Runway 16/34
RBL,"40-09-01.1000N 122-15-07.9000W
40-09.018333N 122-15.131667W
40.1503056,-122.2521944
(estimated)",352.3 ft. / 107.4 m (surveyed),17E (1985),"2 miles S of RED BLUFF, CA",UTC -8 (UTC -7 during Daylight Saving Time),96080,Open to the public,04/1948,no,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,0700-DUSK,5431 x 100 ft. / 1655 x 30 m,tiedowns,Publicly-owned,  ,Runway 15/33
RCE,"35-29-17.1000N 097-49-24.8000W
35-29.285000N 097-49.413333W
35.4880833,-97.8235556
(estimated)",1353.8 ft. / 412.6 m (surveyed),07E (1990),"15 miles W of OKLAHOMA CITY, OK",UTC -6 (UTC -5 during Daylight Saving Time),73099,Open to the public,no,FORT WORTH CENTER,MC ALESTER FLIGHT SERVICE STATION,MLC (NOTAM-D service available),lighted,6014 x 100 ft. / 1833 x 30 m,tiedowns,3502 x 75 ft. / 1067 x 23 m,Publicly-owned,Runway 17R/35L
RDD,"40-30-32.3000N 122-17-36.2000W
40-30.538333N 122-17.603333W
40.5089722,-122.2933889
(estimated)",504.7 ft. / 153.8 m (surveyed),14E (2020),"6 miles SE of REDDING, CA",UTC -8 (UTC -7 during Daylight Saving Time),96002,Open to the public,07/1944,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,CONTINUOUS,7003 x 150 ft. / 2135 x 46 m,tiedowns,5067 x 150 ft. / 1544 x 46 m,Publicly-owned,Runway 16/34
RDM,"44-15-14.6480N 121-08-59.8970W
44-15.244133N 121-08.998283W
44.2540689,-121.1499714
(estimated)",3081.5 ft. / 939.2 m (surveyed),14E (2020),"1 mile SE of REDMOND, OR",UTC -8 (UTC -7 during Daylight Saving Time),97756,Open to the public,09/1938,yes,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,"0400-2000
FOR FUEL AFT HRS CALL FBO 541-504-3848. UNICOM: FBO 122.85.",7038 x 150 ft. / 2145 x 46 m,tiedowns,7006 x 100 ft. / 2135 x 30 m,48 x 48 ft. / 15 x 15 m,Runway 5/23
REO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RFD,"42-11-43.3000N 089-05-50.0000W
42-11.721667N 089-05.833333W
42.1953611,-89.0972222
(estimated)",742 ft. / 226.2 m (surveyed),03W (2020),68 miles NW of central business district of the associated city,UTC -6 (UTC -5 during Daylight Saving Time),61109,Open to the public,03/1950,yes,CHICAGO CENTER,KANKAKEE FLIGHT SERVICE STATION,CONTINUOUS,10002 x 150 ft. / 3049 x 46 m,hangars and tiedowns,8200 x 150 ft. / 2499 x 46 m,Publicly-owned,Runway 7/25
RIC,"37-30-18.6520N 077-19-11.0590W
37-30.310867N 077-19.184317W
37.5051811,-77.3197386
(estimated)",167.5 ft. / 51.1 m (surveyed),10W (2020),"6 miles E of RICHMOND, VA",UTC -5 (UTC -4 during Daylight Saving Time),23250,Open to the public,12/1931,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,9003 x 150 ft. / 2744 x 46 m,6607 x 150 ft. / 2014 x 46 m,Runway 16/34
