airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
EDN,"31-17-59.0000N 085-53-59.4000W
31-17.983333N 085-53.990000W
31.2997222,-85.8998333
(estimated)",360.9 ft. / 110.0 m (surveyed),03W (2005),"3 miles W of ENTERPRISE, AL",UTC -6 (UTC -5 during Daylight Saving Time),36330,Open to the public,07/1955,no,JACKSONVILLE CENTER,ANNISTON FLIGHT SERVICE STATION,"MONDAY - FRIDAY 0700 - 1700, ALL SATURDAY 0800 - 1700, ALL SUNDAY UNATNDD",100LL JET-A+,,5080 x 100 ft. / 1548 x 30 m,Publicly-owned,Runway 5/23
EED,"34-45-58.8486N 114-37-23.8076W
34-45.980810N 114-37.396793W
34.7663468,-114.6232799
(estimated)",983.1 ft. / 299.6 m (surveyed),14E (1980),"5 miles S of NEEDLES, CA",UTC -8 (UTC -7 during Daylight Saving Time),92363,Open to the public,05/1941,no,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,UNATNDD,5005 x 100 ft. / 1526 x 30 m,tiedowns,4235 x 100 ft. / 1291 x 30 m,Publicly-owned,Runway 11/29
EEN,"42-53-54.2000N 072-16-14.8000W
42-53.903333N 072-16.246667W
42.8983889,-72.2707778
(estimated)",488 ft. / 148.7 m (surveyed),15W (1995),"2 miles S of KEENE, NH",UTC -5 (UTC -4 during Daylight Saving Time),03431,Open to the public,02/1947,no,BOSTON CENTER,BANGOR FLIGHT SERVICE STATION,"MON-FRI 0700-1900, ALL SAT-SUN 0700-1700","100LL JET-A
100LL:100LL AVBL 24 HRS WITH CREDIT CARD. FOR JET FUEL AFT HRS CALL 603-357-7600.",,6201 x 100 ft. / 1890 x 30 m,4001 x 75 ft. / 1220 x 23 m,Runway 2/20
EET,"33-10-40.0000N 086-46-59.6000W
33-10.666667N 086-46.993333W
33.1777778,-86.7832222
(estimated)",585.6 ft. / 178.5 m (surveyed),03W (2010),"4 miles SE of ALABASTER, AL",UTC -6 (UTC -5 during Daylight Saving Time),35007,Open to the public,04/1965,no,ATLANTA CENTER,ANNISTON FLIGHT SERVICE STATION,0700-1900,5000 x 75 ft. / 1524 x 23 m,tiedowns,Publicly-owned,  ,Runway 16/34
EFD,"29-36-26.4000N 095-09-31.5000W
29-36.440000N 095-09.525000W
29.6073333,-95.1587500
(estimated)",32.5 ft. / 9.9 m (surveyed),05E (2000),"15 miles SE of HOUSTON, TX",UTC -6 (UTC -5 during Daylight Saving Time),77059,Open to the public,06/1942,yes,HOUSTON CENTER,FORT WORTH FLIGHT SERVICE STATION,CONTINUOUS,9001 x 150 ft. / 2744 x 46 m,tiedowns,8001 x 150 ft. / 2439 x 46 m,4609 x 75 ft. / 1405 x 23 m,Runway 17R/35L
EGE,"39-38-33.9000N 106-54-57.4000W
39-38.565000N 106-54.956667W
39.6427500,-106.9159444
(estimated)",6547.4 ft. / 1995.6 m (surveyed),09E (2020),"4 miles W of EAGLE, CO",UTC -7 (UTC -6 during Daylight Saving Time),81637,Open to the public,07/1940,yes,DENVER CENTER,DENVER FLIGHT SERVICE STATION,"APR-NOV 0700-1900, DEC-MAR 0700-2300",9000 x 150 ft. / 2743 x 46 m,hangars and tiedowns,Publicly-owned,  ,Runway 7/25
EGTC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EKO,"40-49-30.0000N 115-47-28.8000W
40-49.500000N 115-47.480000W
40.8250000,-115.7913333
(estimated)",5139.8 ft. / 1566.6 m (surveyed),12E (2020),"1 mile W of ELKO, NV",UTC -8 (UTC -7 during Daylight Saving Time),89801,Open to the public,04/1940,no,SALT LAKE CITY CENTER,RENO FLIGHT SERVICE STATION,0500-1900,7454 x 150 ft. / 2272 x 46 m,hangars and tiedowns,3015 x 60 ft. / 919 x 18 m,Publicly-owned,Runway 6/24
EKQ,"36-51-19.0000N 084-51-22.1000W
36-51.316667N 084-51.368333W
36.8552778,-84.8561389
(estimated)",962.6 ft. / 293.4 m (surveyed),03W (1990),"2 miles N of MONTICELLO, KY",UTC -5 (UTC -4 during Daylight Saving Time),42633,Open to the public,10/1975,no,INDIANAPOLIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,"MON-SAT 0830-1730, ALL SUN UNATNDD","100LL JET-A+
100LL:FUEL AVBL 24/7 WITH CC.",,4000 x 75 ft. / 1219 x 23 m,Publicly-owned,Runway 3/21
ELO,"47-49-26.4471N 091-49-45.5541W
47-49.440785N 091-49.759235W
47.8240131,-91.8293206
(estimated)",1456 ft. / 443.8 m (surveyed),00E (2000),"4 miles S of ELY, MN",UTC -6 (UTC -5 during Daylight Saving Time),55731,Open to the public,05/1972,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"0800-1700
FOR ATTENDANT AFT HRS CALL 218-343-8774.",5596 x 100 ft. / 1706 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 12/30
ELP,"31-48-26.4000N 106-22-34.9000W
31-48.440000N 106-22.581667W
31.8073333,-106.3763611
(estimated)",3961.6 ft. / 1207.5 m (surveyed),08E (2015),"4 miles NE of EL PASO, TX",UTC -7 (UTC -6 during Daylight Saving Time),79925,Open to the public,11/1938,yes,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,CONTINUOUS,12020 x 150 ft. / 3664 x 46 m,hangars and tiedowns,9025 x 150 ft. / 2751 x 46 m,5499 x 75 ft. / 1676 x 23 m,Runway 4/22
ELY,"39-17-58.8780N 114-50-30.7610W
39-17.981300N 114-50.512683W
39.2996883,-114.8418781
(estimated)",6259.7 ft. / 1908.0 m (surveyed),14E (2005),"3 miles NE of ELY, NV",UTC -8 (UTC -7 during Daylight Saving Time),89301,Open to the public,11/1938,no,SALT LAKE CITY CENTER,RENO FLIGHT SERVICE STATION,MON-SAT 0800-1700,6017 x 150 ft. / 1834 x 46 m,hangars and tiedowns,4825 x 60 ft. / 1471 x 18 m,Publicly-owned,Runway 18/36
EMT,"34-05-09.6320N 118-02-05.4430W
34-05.160533N 118-02.090717W
34.0860089,-118.0348453
(estimated)",295.6 ft. / 90.1 m (surveyed),14E (1985),"1 mile N of EL MONTE, CA",UTC -8 (UTC -7 during Daylight Saving Time),91731,Open to the public,04/1944,yes,LOS ANGELES CENTER,RIVERSIDE FLIGHT SERVICE STATION,CONTINUOUS,3995 x 75 ft. / 1218 x 23 m,tiedowns,Publicly-owned,  ,Runway 1/19
ENA,"60-34-23.8000N 151-14-41.4000W
60-34.396667N 151-14.690000W
60.5732778,-151.2448333
(estimated)",99.6 ft. / 30.4 m (surveyed),15E (2020),UTC -9 (UTC -8 during Daylight Saving Time),99611,nan,Open to the public,05/1947,yes,ANCHORAGE CENTER,KENAI FLIGHT SERVICE STATION (on field) [907-283-7211],MON-FRI 0800-1700,"100LL JET-A
100LL:FUEL AVBL H24 WITH CREDIT CARD - 907-283-4542.",,7855 x 150 ft. / 2394 x 46 m,1980 x 75 ft. / 604 x 23 m,Runway 2L/20R
ENN,"64-32-50.2800N 149-04-26.1300W
64-32.838000N 149-04.435500W
64.5473000,-149.0739250
(estimated)",367.7 ft. / 112.1 m (surveyed),21E (2010),"1 mile S of NENANA, AK",UTC -9 (UTC -8 during Daylight Saving Time),99760,Open to the public,04/1949,no,ANCHORAGE CENTER,FAIRBANKS FLIGHT SERVICE STATION [907-474-0788],UNATTND,"100LL JET-A
100LL:SELF-SVC FUEL AVBL 24/7 VIA CARD LOCK.",,4600 x 100 ft. / 1402 x 30 m,"1980 x 80 ft. / 604 x 24 m
RWY 04R/22L IN SUMMER FULL LENGTH MAY NOT BE AVBL, DUE TO BEING SOFT; AVBL FOR SKI USE WHEN FROZEN.",Runway 4L/22R
ENV,"40-43-07.4110N 114-01-43.2250W
40-43.123517N 114-01.720417W
40.7187253,-114.0286736
(estimated)",4236.7 ft. / 1291.3 m (surveyed),12E (2015),"1 mile SE of WENDOVER, UT",UTC -7 (UTC -6 during Daylight Saving Time),84083,Open to the public,02/1973,no,SALT LAKE CITY CENTER,CEDAR CITY FLIGHT SERVICE STATION,0800-1800,10002 x 150 ft. / 3049 x 46 m,hangars,8002 x 100 ft. / 2439 x 30 m,Publicly-owned,Runway 8/26
