airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
BOI,"43-33-51.7000N 116-13-22.3000W
43-33.861667N 116-13.371667W
43.5643611,-116.2228611
(estimated)",2871.7 ft. / 875.3 m (surveyed),13E (2020),"3 miles S of BOISE, ID",UTC -7 (UTC -6 during Daylight Saving Time),83705,Open to the public,04/1940,yes,SALT LAKE CITY CENTER,"BOISE FLIGHT SERVICE STATION
LOCAL CALL TO FSS 343-2525.",CONTINUOUS,10000 x 150 ft. / 3048 x 46 m,hangars and tiedowns,9763 x 150 ft. / 2976 x 46 m,Publicly-owned,Runway 10L/28R
BOW,"27-56-36.1000N 081-47-00.3000W
27-56.601667N 081-47.005000W
27.9433611,-81.7834167
(estimated)",124.8 ft. / 38.0 m (surveyed),04W (1995),"4 miles NE of BARTOW, FL",UTC -5 (UTC -4 during Daylight Saving Time),33830,Open to the public,02/1944,yes,MIAMI CENTER,SAINT PETERSBURG FLIGHT SERVICE STATION,"0600-1800
UNATTND EASTER, THANKSGIVING & CHRISTMAS.",5000 x 100 ft. / 1524 x 30 m,hangars and tiedowns,5000 x 150 ft. / 1524 x 46 m,4400 x 150 ft. / 1341 x 46 m,Runway 5/23
BPG,"32-12-45.4000N 101-31-17.9000W
32-12.756667N 101-31.298333W
32.2126111,-101.5216389
(estimated)",2572.9 ft. / 784.2 m (surveyed),07E (2010),"2 miles SW of BIG SPRING, TX",UTC -6 (UTC -5 during Daylight Saving Time),79720,Open to the public,no,FORT WORTH CENTER,SAN ANGELO FLIGHT SERVICE STATION,BPG (NOTAM-D service available),lighted,8802 x 100 ft. / 2683 x 30 m,hangars and tiedowns,4601 x 75 ft. / 1402 x 23 m,Publicly-owned,Runway 17/35
BRD,"46-24-15.2000N 094-08-01.7000W
46-24.253333N 094-08.028333W
46.4042222,-94.1338056
(estimated)",1232.2 ft. / 375.6 m (surveyed),03E (1995),"3 miles NE of BRAINERD, MN",UTC -6 (UTC -5 during Daylight Saving Time),56401,Open to the public,10/1948,no,MINNEAPOLIS CENTER,PRINCETON FLIGHT SERVICE STATION,"JUL-OCT 0500-2300, NOV-JUN 0500-2300",7100 x 150 ft. / 2164 x 46 m,hangars and tiedowns,6512 x 150 ft. / 1985 x 46 m,60 x 60 ft. / 18 x 18 m,Runway 16/34
BRG,"34-38-45.1019N 106-50-10.8243W
34-38.751698N 106-50.180405W
34.6458616,-106.8363401
(estimated)",5199.5 ft. / 1585 m (estimated),11E (1985),"3 miles W of BELEN, NM",UTC -7 (UTC -6 during Daylight Saving Time),87002,Open to the public,05/1979,no,ALBUQUERQUE CENTER,ALBUQUERQUE FLIGHT SERVICE STATION,MON-FRI 0800-1700,6601 x 60 ft. / 2012 x 18 m,hangars and tiedowns,5280 x 75 ft. / 1609 x 23 m,Publicly-owned,Runway 3/21
BRW,"71-17-05.5000N 156-46-06.9000W
71-17.091667N 156-46.115000W
71.2848611,-156.7685833
(estimated)",48.9 ft. / 14.9 m (surveyed),10E (2025),UTC -9 (UTC -8 during Daylight Saving Time),99723,nan,Open to the public,no,ANCHORAGE CENTER,BARROW FLIGHT SERVICE STATION (on field) [907-852-2511],FAI FAIRBANKS FLIGHT SERVICE STATION [1-866-248-6516],0600-2030,100LL JET-A1,,7100 x 150 ft. / 2164 x 46 m,Publicly-owned,Runway 8/26
BTF,"40-52-05.3369N 111-55-38.9969W
40-52.088948N 111-55.649948W
40.8681491,-111.9274991
(estimated)",4237.1 ft. / 1291.5 m (surveyed),15E (1985),"3 miles SW of BOUNTIFUL, UT",UTC -7 (UTC -6 during Daylight Saving Time),84087,Open to the public,05/1945,no,SALT LAKE CITY CENTER,CEDAR CITY FLIGHT SERVICE STATION,"APR - SEP MON-FRI 0800-1800, APR - SEP SAT 0800-1800, OCT - MAR MON-FRI 0800-1700, OCT - MAR SAT 0800-1700, ALL SUN 0800 - 1300
SUNDAYS CALL AFTER HOURS 801-589-1243",4634 x 70 ft. / 1412 x 21 m,hangars and tiedowns,Privately-owned,  ,Runway 17/35
BTM,"45-57-17.3000N 112-29-50.9000W
45-57.288333N 112-29.848333W
45.9548056,-112.4974722
(estimated)",5550.5 ft. / 1691.8 m (surveyed),12E (2020),"3 miles SE of BUTTE, MT",UTC -7 (UTC -6 during Daylight Saving Time),59701,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,DAWN-DUSK,9000 x 150 ft. / 2743 x 46 m,hangars and tiedowns,5100 x 75 ft. / 1554 x 23 m,Publicly-owned,Runway 15/33
BUR,"34-12-02.5000N 118-21-31.2000W
34-12.041667N 118-21.520000W
34.2006944,-118.3586667
(estimated)",778 ft. / 237.1 m (surveyed),12E (2020),"3 miles NW of BURBANK, CA",UTC -8 (UTC -7 during Daylight Saving Time),91505,Open to the public,12/1942,yes,LOS ANGELES CENTER,HAWTHORNE FLIGHT SERVICE STATION,CONTINUOUS,6886 x 150 ft. / 2099 x 46 m,hangars,5802 x 150 ft. / 1768 x 46 m,Publicly-owned,Runway 15/33
BVO,"36-45-48.1000N 096-00-40.3000W
36-45.801667N 096-00.671667W
36.7633611,-96.0111944
(estimated)",716.9 ft. / 218.5 m (surveyed),03E (2020),"2 miles NW of BARTLESVILLE, OK",UTC -6 (UTC -5 during Daylight Saving Time),74003,Open to the public,11/1938,no,KANSAS CITY CENTER,MC ALESTER FLIGHT SERVICE STATION,"MON-THU 0700-1900, ALL FRI-SUN 0700-1800",6850 x 100 ft. / 2088 x 30 m,ADZY FREQ 122.825 MNT M-F DURG BUS HRS.,Publicly-owned,  ,Runway 17/35
BVS,"48-28-13.8940N 122-25-18.0820W
48-28.231567N 122-25.301367W
48.4705261,-122.4216894
(estimated)",145.1 ft. / 44.2 m (surveyed),16E (2015),3 miles W of central business district of the associated city,UTC -8 (UTC -7 during Daylight Saving Time),98233,Open to the public,12/1937,no,SEATTLE CENTER,SEATTLE FLIGHT SERVICE STATION,"0700-1900
TERMINAL BUILDING OPEN 0700-1900. AFTER HOURS, ACCESS AVAILABLE TO PILOTS. TERMINAL AND APRON ADJACENT TO TERMINAL FREE PILOT ACCESS WIFI.",100LL JET-A,,5480 x 100 ft. / 1670 x 30 m,3000 x 60 ft. / 914 x 18 m,Runway 11/29
BVU,"35-56-50.3090N 114-51-39.9030W
35-56.838483N 114-51.665050W
35.9473081,-114.8610842
(estimated)",2203.1 ft. / 671.5 m (surveyed),11E (2020),"1 mile SW of BOULDER CITY, NV",UTC -8 (UTC -7 during Daylight Saving Time),89005,Open to the public,08/1990,no,LOS ANGELES CENTER,RENO FLIGHT SERVICE STATION,0800-1700,5103 x 75 ft. / 1555 x 23 m,hangars and tiedowns,3852 x 75 ft. / 1174 x 23 m,Publicly-owned,Runway 9/27
BWG,"36-57-52.3000N 086-25-10.8000W
36-57.871667N 086-25.180000W
36.9645278,-86.4196667
(estimated)",547.2 ft. / 166.8 m (surveyed),04W (2015),"2 miles SE of BOWLING GREEN, KY",UTC -6 (UTC -5 during Daylight Saving Time),42103,Open to the public,04/1940,no,MEMPHIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,CONTINUOUS,6501 x 150 ft. / 1982 x 46 m,hangars and tiedowns,3956 x 150 ft. / 1206 x 46 m,Publicly-owned,Runway 3/21
BWI,"39-10-32.6220N 076-40-08.3680W
39-10.543700N 076-40.139467W
39.1757283,-76.6689911
(estimated)
SURVEYED.",143.4 ft. / 43.7 m (surveyed),11W (2000),"9 miles S of BALTIMORE, MD",UTC -5 (UTC -4 during Daylight Saving Time),21240,Open to the public,01/1950,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,10503 x 150 ft. / 3201 x 46 m,9501 x 150 ft. / 2896 x 46 m,Runway 10/28
BZN,"45-46-38.0488N 111-09-00.9370W
45-46.634147N 111-09.015617W
45.7772358,-111.1502603
(estimated)",4473.4 ft. / 1363.5 m (surveyed),13E (2010),"7 miles NW of BOZEMAN, MT",UTC -7 (UTC -6 during Daylight Saving Time),59714,Open to the public,07/1942,yes,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,0500-0100,100 100LL JET-A,,8994 x 150 ft. / 2741 x 46 m,5050 x 75 ft. / 1539 x 23 m,Runway 12/30
C35,"43-31-33.2367N 089-58-59.5980W
43-31.553945N 089-58.993300W
43.5258991,-89.9832217
(estimated)",906.2 ft. / 276.2 m (surveyed),00E (1985),"1 mile E of REEDSBURG, WI",UTC -6 (UTC -5 during Daylight Saving Time),53959,Open to the public,04/1948,no,CHICAGO CENTER,GREEN BAY FLIGHT SERVICE STATION,0800-1600,"100LL JET-A
100LL:24 HR FUEL AVBL WITH CREDIT CARD.",,4840 x 75 ft. / 1475 x 23 m,2510 x 50 ft. / 765 x 15 m,Runway 18/36
C83,"37-49-42.4000N 121-37-33.0000W
37-49.706667N 121-37.550000W
37.8284444,-121.6258333
(estimated)",78.5 ft. / 23.9 m (surveyed),15E (1995),"2 miles S of BYRON, CA",UTC -8 (UTC -7 during Daylight Saving Time),94514,Open to the public,11/1994,no,OAKLAND CENTER,OAKLAND FLIGHT SERVICE STATION,0700-1400,4500 x 100 ft. / 1372 x 30 m,tiedowns,3000 x 75 ft. / 914 x 23 m,Publicly-owned,Runway 12/30
