airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
HRF,"46-15-25.7972N 114-07-25.8352W
46-15.429953N 114-07.430587W
46.2571659,-114.1238431
(estimated)",3635.6 ft. / 1108.1 m (surveyed),13E (2025),"1 mile E of HAMILTON, MT",UTC -7 (UTC -6 during Daylight Saving Time),59840,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,0800-1700,5200 x 75 ft. / 1585 x 23 m,hangars and tiedowns,Publicly-owned,  ,Runway 17/35
HSA,"30-22-04.0970N 089-27-16.6050W
30-22.068283N 089-27.276750W
30.3678047,-89.4546125
(estimated)",22.8 ft. / 6.9 m (surveyed),02W (2020),"8 miles NW of BAY ST LOUIS, MS",UTC -6 (UTC -5 during Daylight Saving Time),39556,Open to the public,05/1970,yes,HOUSTON CENTER,GREENWOOD FLIGHT SERVICE STATION,"MON-FRI 0700-1900, ALL SAT-SUN 0800-2000","100LL JET-A+
100LL:FOR FUEL & FBO SVCS AFT HRS CALL 228-463-2389.",,8498 x 150 ft. / 2590 x 46 m,Publicly-owned,Runway 18/36
HSP,"37-57-05.2000N 079-50-02.0200W
37-57.086667N 079-50.033667W
37.9514444,-79.8338944
(estimated)",3792.7 ft. / 1156.0 m (surveyed),08W (2000),"3 miles S of HOT SPRINGS, VA",UTC -5 (UTC -4 during Daylight Saving Time),24460,Open to the public,10/1937,no,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,"0900-1700
ARNG CALL-OUT SVC DRNG BUS HRS. FEE FOR CALL-OUT SVC.",5600 x 100 ft. / 1707 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 7/25
HUM,"29-33-59.4075N 090-39-37.5360W
29-33.990125N 090-39.625600W
29.5665021,-90.6604267
(estimated)",9 ft. / 2.7 m (surveyed),01E (2010),"3 miles SE of HOUMA, LA",UTC -6 (UTC -5 during Daylight Saving Time),70363,Open to the public,04/1940,yes,HOUSTON CENTER,DE RIDDER FLIGHT SERVICE STATION,0600-1900,6508 x 150 ft. / 1984 x 46 m,hangars and tiedowns,4999 x 185 ft. / 1524 x 56 m,Publicly-owned,Runway 18/36
HUT,"38-03-58.1570N 097-51-37.7630W
38-03.969283N 097-51.629383W
38.0661547,-97.8604897
(estimated)",1542.5 ft. / 470.2 m (surveyed),04E (2020),"3 miles E of HUTCHINSON, KS",UTC -6 (UTC -5 during Daylight Saving Time),67501,Open to the public,04/1940,yes,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,"MON-FRI 0800-1800, ALL SAT-SUN 0800-1700
ATTENDANT AFT HRS CALL 620-663-1546.","100LL JET-A
100LL:SELF SERVICE 100LL FUEL AVBL N OF THE TRANSIENT APRON",,7003 x 100 ft. / 2135 x 30 m,4405 x 100 ft. / 1343 x 30 m,Runway 13/31
HXD,"32-13-28.1820N 080-41-50.6430W
32-13.469700N 080-41.844050W
32.2244950,-80.6974008
(estimated)",19.4 ft. / 5.9 m (surveyed),07W (2005),"3 miles E of HILTON HEAD ISLAND, SC",UTC -5 (UTC -4 during Daylight Saving Time),29926,Open to the public,yes,JACKSONVILLE CENTER,ANDERSON FLIGHT SERVICE STATION,HXD (NOTAM-D service available),lighted,5000 x 100 ft. / 1524 x 30 m,tiedowns,Publicly-owned,  ,Runway 3/21
HZD,"36-05-21.4705N 088-27-47.8756W
36-05.357842N 088-27.797927W
36.0892974,-88.4632988
(estimated)",496.6 ft. / 151.4 m (surveyed),02W (2010),"4 miles NW of HUNTINGDON, TN",UTC -6 (UTC -5 during Daylight Saving Time),38201,Open to the public,06/1987,no,MEMPHIS CENTER,JACKSON FLIGHT SERVICE STATION,"MON-SAT 0800-1700, ALL SUN 1300-1700
AFT HR - 731-641-0123.",5507 x 100 ft. / 1679 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 1/19
I18,"38-55-47.2000N 081-49-10.1000W
38-55.786667N 081-49.168333W
38.9297778,-81.8194722
(estimated)",758.2 ft. / 231.1 m (surveyed),07W (2000),"6 miles SW of RAVENSWOOD, WV",UTC -5 (UTC -4 during Daylight Saving Time),25262,Open to the public,no,INDIANAPOLIS CENTER,ELKINS FLIGHT SERVICE STATION [703-724-4288],EKN (NOTAM-D service available),lighted,100LL,,4000 x 75 ft. / 1219 x 23 m,Publicly-owned,Runway 4/22
IAB,"37-37-23.2175N 097-16-03.4650W
37-37.386958N 097-16.057750W
37.6231160,-97.2676292
(estimated)",1371.5 ft. / 418.0 m (surveyed),04E (2015),"4 miles S of WICHITA, KS",UTC -6 (UTC -5 during Daylight Saving Time),67221,"Private use, PPR V962-5271.",04/1940,yes,KANSAS CITY CENTER,WICHITA FLIGHT SERVICE STATION,CONTINUOUS,hangars,,12007 x 150 ft. / 3660 x 46 m,12000 x 150 ft. / 3658 x 46 m,Runway 1R/19L
IAD,"38-56-50.8000N 077-27-35.8000W
38-56.846667N 077-27.596667W
38.9474444,-77.4599444
(estimated)",313 ft. / 95.4 m (surveyed),10W (2000),"20 miles W of WASHINGTON, DC",UTC -5 (UTC -4 during Daylight Saving Time),20166,Open to the public,11/1962,yes,WASHINGTON CENTER,LEESBURG FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,11500 x 150 ft. / 3505 x 46 m,11500 x 150 ft. / 3505 x 46 m,Runway 1C/19C
