Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
02607.01*A,CO92,,CO,1,UNATNDD
02612.01*H,0CD1,,CO,1,UNATNDD
02612.*A,FMM,KFMM,CO,1,ALL/MON-SAT/0800-1700
02614.1*A,CO80,,CO,1,UNATNDD
02614.66*H,CD40,,CO,1,UNATNDD
02614.67*A,CO96,,CO,1,UNATNDD
02615.75*H,91CO,,CO,1,UNATNDD
02615.88*A,CO59,,CO,1,ALL/ALL/0700-1900
02615.95*A,CO61,,CO,1,ALL/ALL/ALL
02615.*H,CO68,,CO,1,UNATNDD
02616.01*A,63CO,,CO,1,UNATNDD
02616.4*A,CO43,,CO,1,IREG
02616.6*H,CO62,,CO,1,ALL/ALL/ALL
02618.01*H,CD42,,CO,1,UNATNDD
02618.03*H,CD41,,CO,1,UNATNDD
02618.04*H,60CO,,CO,1,ALL/ALL/ALL
02618.*A,GWS,KGWS,CO,1,ALL/MON-FRI/0800-1700
02620.13*H,20CO,,CO,1,ALL/ALL/ALL
02623.11*H,51CO,,CO,1,UNATNDD
02623.*A,GNB,KGNB,CO,1,UNATNDD
02624.01*H,28CO,,CO,1,IREG
02624.02*H,82CO,,CO,1,UNATNDD
02624.04*H,2CO9,,CO,1,UNATNDD
02624.13*H,29CO,,CO,1,UNATNDD
02624.*A,GJT,KGJT,CO,1,ALL/ALL/0530-0000L
02625.3*H,CD43,,CO,1,UNATNDD
02627.01*H,98CO,,CO,1,UNATNDD
02627.2*A,11V,,CO,1,ALL/ALL/DALGT
02627.6*H,CO44,,CO,1,UNATNDD
02627.*A,GXY,KGXY,CO,1,ALL/ALL/0600-1900
02628.01*A,30CO,,CO,1,UNATNDD
02628.03*H,CD71,,CO,1,UNATNDD
02629.4*H,CD12,,CO,1,ALL/ALL/ALL
02631.*A,GUC,KGUC,CO,1,ALL/ALL/0600-2100
02632.*A,CO47,,CO,1,UNATNDD
02633.3*A,CO73,,CO,1,UNATNDD
02633.6*A,25CD,,CO,1,UNATNDD
02634.4*A,17V,,CO,1,UNATNDD
02635.7*A,HDN,KHDN,CO,1,ALL/ALL/0600-2000
02636.5*H,CD44,,CO,1,UNATNDD
02636.7*A,92CO,,CO,1,ALL/ALL/ALL
02637.*A,K08,,CO,1,ON CALL
02638.9*A,HEQ,KHEQ,CO,1,IREG
02639.611*A,8CO5,,CO,1,IREG
02639.612*A,44CO,,CO,1,UNATNDD
02639.613*A,3CO1,,CO,1,IREG
02639.614*A,CD97,,CO,1,UNATNDD
02639.62*A,12CO,,CO,1,UNATNDD
02639.6*A,CO76,,CO,1,ALL/IREG/DALGT
02640.62*A,18V,,CO,1,ALL/ALL/DALGT
02642.02*H,CO78,,CO,1,UNATNDD
02642.8*H,CD19,,CO,1,UNATNDD
02643.351*H,9CO4,,CO,1,UNATNDD
02643.35*A,CD28,,CO,1,UNATNDD
02643.7*U,CO81,,CO,1,UNATTND
02643.9*H,7CO7,,CO,1,ALL/MON-FRI/0700-1700
02644.*A,7V8,,CO,1,UNATNDD
02646.62*A,CO82,,CO,1,UNATNDD
02646.63*A,CO60,,CO,1,UNATNDD
02646.68*A,9CO7,,CO,1,ALL/ALL/ALL
02646.6*A,CO56,,CO,1,UNATNDD
02646.7*H,83CO,,CO,1,NOV-APR/ALL/0830-2100
02646.7*H,83CO,,CO,2,MAY-OCT/ALL/0830-1700
02646.81*H,CO36,,CO,1,UNATNDD
02646.82*A,CO18,,CO,1,UNATNDD
02646.83*A,07CO,,CO,1,UNATNDD
02646.84*A,9CO8,,CO,1,UNATNDD
02646.85*A,0CO5,,CO,1,ALL/ALL/ALL
02646.9*A,CO84,,CO,1,IREG
02649.01*H,CO74,,CO,1,UNATNDD
02649.*A,20V,,CO,1,ALL/ALL/0800-1730
02650.51*A,0CD7,,CO,1,UNATNDD
02650.5*H,0CD6,,CO,1,UNATNDD
02651.011*H,8CO6,,CO,1,UNATNDD
02651.*A,LHX,KLHX,CO,1,ALL/ALL/0700-1600
02652.5*A,CD32,,CO,1,UNATNDD
02652.6*A,93CO,,CO,1,UNATNDD
02652.7*H,42CO,,CO,1,ALL/ALL/ALL
02654.01*A,CD03,,CO,1,UNATNDD
02654.02*H,0CD8,,CO,1,UNATNDD
02654.*A,LAA,KLAA,CO,1,ALL/ALL/0800-1800
02659.*A,07V,,CO,1,UNATTENDED
02660.11*H,01CO,,CO,1,UNATNDD
02660.1*A,LXV,KLXV,CO,1,MAY-SEP/ALL/0730-1630
02660.1*A,LXV,KLXV,CO,2,OCT-APR/ALL/0800-1630
02665.1*A,LIC,KLIC,CO,1,UNATNDD
02665.5*A,2CD9,,CO,1,UNATNDD
02668.19*H,CO16,,CO,1,ALL/ALL/ALL
02668.221*H,9CO1,,CO,1,UNATNDD
02668.24*H,2CO6,,CO,1,ALL/MON-SAT/0900-1700
02668.7*A,CO93,,CO,1,UNATNDD
02668.95*H,CD53,,CO,1,ALL/ALL/ALL
02669.02*H,0CO0,,CO,1,ON CALL
02669.03*H,1CD0,,CO,1,UNATNDD
02669.04*A,CO23,,CO,1,UNATNDD
02669.*A,LMO,KLMO,CO,1,ALL/ALL/DALGT
02672.51*H,CO45,,CO,1,UNATNDD
02672.5*A,0CO1,,CO,1,ALL/ALL/ALL
02673.12*H,5CO2,,CO,1,ALL/ALL/ALL
02673.13*H,2CD2,,CO,1,ALL/ALL/ALL
02673.1*A,CD20,,CO,1,UNATNDD
02680.01*A,10CO,,CO,1,ALL/ALL/DALGT
02682.5*H,CD49,,CO,1,UNATNDD
02684.11*H,45CO,,CO,1,ALL/MON-FRI/0700-1700
02684.1*A,05CO,,CO,1,ALL/ALL/ALL
02685.02*H,CD50,,CO,1,UNATNDD
02685.03*H,4CO5,,CO,1,ALL/ALL/ALL
02685.05*A,41CO,,CO,1,UNATNDD
02685.8*A,9CO9,,CO,1,UNATNDD
02685.*A,EEO,KEEO,CO,1,ALL/ALL/ALL
02688.25*H,0CD9,,CO,1,UNATNDD
02689.7*A,2CO3,,CO,1,UNATNDD
02690.12*A,02CO,,CO,1,UNATNDD
02690.1*A,MVI,KMVI,CO,1,ALL/MON-FRI/0800-1700
02690.1*A,MVI,KMVI,CO,2,ALL/SAT-SUN/ON-CALL
02690.3*A,0CO9,,CO,1,UNATNDD
02692.011*H,6CO8,,CO,1,UNATNDD
02692.01*A,39CO,,CO,1,UNATNDD
02692.04*H,CD47,,CO,1,UNATNDD
02692.05*H,2CD5,,CO,1,ALL/ALL/ALL
02692.71*H,61CO,,CO,1,UNATNDD
02692.7*A,52CO,,CO,1,UNATNDD
02692.*A,MTJ,KMTJ,CO,1,APR1-DEC15/ALL/0530-2100
02692.*A,MTJ,KMTJ,CO,2,DEC16-MAR31/ALL/0500-2100
02694.8*H,1CO1,,CO,1,UNATNDD
02695.25*H,38CO,,CO,1,UNATNDD
02695.312*A,47CO,,CO,1,UNATNDD
02695.31*A,CO06,,CO,1,UNATNDD
02695.351*H,85CO,,CO,1,UNATNDD
02695.35*A,8CO7,,CO,1,UNATNDD
02695.41*H,CD55,,CO,1,UNATNDD
02695.42*H,CD54,,CO,1,UNATNDD
02695.51*A,0CO6,,CO,1,UNATNDD
02695.5*A,1CO2,,CO,1,UNATNDD
02695.*H,CD52,,CO,1,UNATNDD
02696.*A,AIB,KAIB,CO,2,UNATNDD
02697.01*A,48CO,,CO,2,OCT-MAR/IREG/IREG
02697.01*A,48CO,,CO,1,APR-SEP/SAT-SUN/0800-2000
02697.02*A,1CD1,,CO,1,UNATNDD
02697.25*A,5CO8,,CO,1,UNATNDD
02697.26*H,CD80,,CO,1,UNATNDD
02697.41*H,37CO,,CO,1,UNATNDD
02697.4*A,1CO4,,CO,1,UNATNDD
02697.*A,1CO3,,CO,1,ALL/ALL/DAWN-DUSK
02700.51*A,0ME4,,ME,1,UNATNDD
02700.85*H,94CO,,CO,1,ALL/ALL/ALL
02702.1*A,PSO,KPSO,CO,3,ALL/ALL/0800-1700
02702.7*H,1CO6,,CO,1,UNATNDD
02704.125*A,43CO,,CO,1,ALL/ALL/0700-1700
02704.15*A,16CO,,CO,1,UNATNDD
02704.16*H,CD56,,CO,1,UNATNDD
02704.22*A,1CO8,,CO,1,ALL/ALL/ALL
02704.28*H,CD57,,CO,1,UNATNDD
02704.2*H,CD31,,CO,1,UNATNDD
02704.43*A,32CO,,CO,1,UNATNDD
02704.52*A,2CO1,,CO,1,IREG
02704.53*A,36CO,,CO,1,UNATNDD
02704.54*A,2CD3,,CO,1,UNATNDD
02704.95*H,CD59,,CO,1,UNATNDD
02704.*A,7V2,,CO,1,ALL/MON-FRI/0800-1800
02704.*A,7V2,,CO,2,ALL/SAT-SUN/IREG
02705.01*A,1CD2,,CO,1,UNATNDD
02707.11*A,99CO,,CO,1,UNATNDD
02707.12*H,4CD0,,CO,1,ALL/ALL/ALL
02707.14*A,87CD,,CO,1,ALL/ALL/ALL
02707.1*H,CO71,,CO,1,ALL/ALL/ALL
02707.31*H,2CO7,,CO,1,UNATNDD
02707.32*A,46CO,,CO,1,INTMT SUMMER MOS ONLY
02707.33*A,80CO,,CO,1,UNATNDD
02709.15*A,7CO8,,CO,1,UNATNDD
02709.3*A,35CO,,CO,1,UNATNDD
02709.98*H,CD63,,CO,1,UNATNDD
02709.99*H,CD62,,CO,1,UNATNDD
02709.*A,PUB,KPUB,CO,1,ALL/ALL/0500-2200
02710.3*A,4V0,,CO,1,ALL/ALL/0800-1700
02710.48*A,25CO,,CO,1,UNATNDD
02710.71*H,CD65,,CO,1,UNATNDD
02710.*H,18CO,,CO,1,UNATNDD
02711.02*H,CO85,,CO,1,UNATNDD
02711.03*H,CO87,,CO,1,ALL/MON-FRI/0800-1700
02711.6*H,CD66,,CO,1,UNATNDD
02711.*A,RIL,KRIL,CO,1,ALL/ALL/ALL
02712.2*A,1CO5,,CO,1,UNATNDD
02713.311*A,49CO,,CO,1,UNATNDD
02713.32*A,74CO,,CO,1,ALL/MON-SUN/IREG
02716.42*A,08CO,,CO,1,UNATNDD
02716.43*A,7CO6,,CO,1,UNATNDD
02716.44*A,CO33,,CO,1,ALL/ALL/SR-SS
02716.4*A,23CO,,CO,1,UNATNDD
02716.8*A,95CO,,CO,1,UNATNDD
02717.*A,04V,,CO,1,UNATNDD
02719.11*A,CO11,,CO,1,UNATNDD
02719.13*H,6CO9,,CO,1,UNATNDD
02719.1*A,1CO7,,CO,1,UNATNDD
02719.*A,ANK,KANK,CO,1,ALL/WED-SUN/0800-1700
02723.61*A,33CO,,CO,1,UNATNDD
02727.51*H,7CO9,,CO,1,UNATNDD
02727.5*H,CD68,,CO,1,UNATNDD
02727.*A,2CD4,,CO,1,UNATNDD
02728.7*A,CD15,,CO,1,UNATNDD
02731.1*A,CD69,,CO,1,UNATNDD
02731.*A,CD10,,CO,1,ALL/ALL/DALGT
02732.*A,8V7,,CO,1,UNATNDD
02738.02*A,CD99,,CO,1,UNATNDD
02738.11*H,CD70,,CO,1,UNATNDD
02738.12*A,81CO,,CO,1,UNATNDD
02738.13*A,1CD4,,CO,1,UNATNDD
02738.14*H,13CO,,CO,1,UNATNDD
02738.1*A,CD02,,CO,1,UNATNDD
02738.*A,SBS,KSBS,CO,2,MAY-OCT/ALL/0700-1700
02738.*A,SBS,KSBS,CO,3,NOV-APR/ALL/0700-1700
02741.01*A,3CO2,,CO,1,ALL/ALL/0700-1600
02741.02*H,3CO3,,CO,1,UNATNDD
02741.27*A,3CO4,,CO,1,ALL/ALL/ALL
02741.44*A,CO38,,CO,1,UNATNDD
02741.45*A,CO97,,CO,1,UNATNDD
02741.6*A,09CO,,CO,1,UNATNDD
02741.85*H,CD21,,CO,1,UNATNDD
02741.*A,STK,KSTK,CO,1,ALL/ALL/0700-1600
02742.1*H,CO72,,CO,1,UNATNDD
02742.2*A,CO95,,CO,1,ALL/ALL/DALGT
02742.55*H,8CO1,,CO,1,UNATNDD
02742.56*H,3CO5,,CO,1,UNATNDD
02742.81*H,CD22,,CO,1,UNATNDD
02742.*A,TEX,KTEX,CO,1,APR-OCT/ALL/0700-2100
02742.*A,TEX,KTEX,CO,2,NOV-MAR/ALL/0700-1800
02743.8*H,CD72,,CO,1,UNATNDD
02744.01*H,CO64,,CO,1,ALL/ALL/ALL
02744.02*A,0CD5,,CO,1,UNATNDD
02744.*A,TAD,KTAD,CO,2,ALL/TUE-FRI/0800-1200
02744.*A,TAD,KTAD,CO,1,ALL/MON/1400-1800
02745.01*A,53CO,,CO,1,IREG
02747.*H,CD74,,CO,1,UNATNDD
02748.65*H,3CO9,,CO,1,UNATNDD
02750.01*H,CD81,,CO,1,UNATNDD
02750.02*H,24CD,,CO,1,UNATNDD
02750.*A,33V,,CO,1,
02751.01*A,CD48,,CO,1,UNATNDD
02751.05*A,73CO,,CO,1,UNATNDD
02751.*A,4V1,,CO,2,IREG
02752.*A,4CO3,,CO,1,UNATNDD
02755.17*H,4CO1,,CO,1,UNATNDD
02755.211*A,9CO2,,CO,1,UNATNDD
02755.81*A,6CO1,,CO,1,UNATNDD
02755.8*G,4CO2,,CO,1,ALL/SAT-SUN/0900-1700
02756.11*A,C08,,CO,1,UNATNDD
02756.1*A,CO65,,CO,1,UNATNDD
02757.01*H,CD04,,CO,1,UNATNDD
02757.8*H,4CO6,,CO,1,UNATNDD
02757.*H,4CO4,,CO,1,ALL/ALL/ALL
02758.02*H,CD75,,CO,1,UNATNDD
02758.75*A,8CO0,,CO,1,UNATNDD
02760.4*H,CD77,,CO,1,UNATNDD
02760.8*H,CD78,,CO,1,UNATNDD
02761.31*H,CD79,,CO,1,UNATNDD
02762.01*H,5CO9,,CO,1,ALL/ALL/ALL
02762.03*A,31CO,,CO,1,UNATNDD
02762.*A,2V5,,CO,2,ALL/SAT/0800-1200
02762.*A,2V5,,CO,1,ALL/MON-FRI/0800-1700
02764.01*A,0CD2,,CO,1,UNATNDD
02764.*A,88CO,,CO,1,UNATNDD
02765.01*A,8CO8,,CO,1,UNATNDD
02765.02*H,8CD0,,CO,1,ALL/ALL/ALL
02765.*A,2V6,,CO,1,ALL/MON-SAT/DALGT
02777.1*A,CT74,,CT,1,UNATNDD
02778.*H,01CT,,CT,1,UNATNDD
02780.01*A,33CT,,CT,1,UNATNDD
02780.1*A,5CT5,,CT,1,UNATNDD
02780.*A,CT01,,CT,1,UNATNDD
02783.5*H,CT05,,CT,1,ALL/MON-FRI/0730-1530
02784.5*A,CT36,,CT,1,UNATNDD
02785.01*H,0CT7,,CT,1,ALL/ALL/ALL
02785.02*H,CT12,,CT,1,UNATNDD
02785.11*H,CT37,,CT,1,IRREG
02785.*A,BDR,KBDR,CT,1,ALL/ALL/0600-2400
02788.01*H,CT03,,CT,1,ALL/ALL/ALL
02788.02*H,CT60,,CT,1,UNATNDD
02788.*A,CT96,,CT,1,UNATNDD
02791.51*H,23CT,,CT,1,UNATNDD
02798.3*A,SNC,KSNC,CT,1,APR-OCT/ALL/0900-2000
02798.3*A,SNC,KSNC,CT,2,NOV-MAR/ALL/0900-1800
02798.68*A,CT07,,CT,1,ALL/ALL/DALGT
02798.75*A,CT09,,CT,1,UNATNDD
02802.02*H,0CT8,,CT,1,ALL/ALL/ALL
02802.*A,DXR,KDXR,CT,1,ALL/ALL/0700-DUSK
02803.856*U,5CT6,,CT,1,UNATNDD
02803.85*A,CT39,,CT,1,ALL/ALL/ALL
02803.86*H,CT50,,CT,1,ALL/ALL/0800-1600
02803.*A,LZD,KLZD,CT,3,UNATTENDED
02804.01*H,CT86,,CT,1,ALL/ALL/ALL
02804.02*A,CT11,,CT,1,IREG
02804.*A,42B,,CT,2,UNATNDD
02806.*H,CT88,,CT,1,ALL/MON-FRI/0600-2200
02808.*A,CT13,,CT,1,UNATNDD
02809.2*A,CT85,,CT,1,UNATNDD
02809.4*A,CT14,,CT,1,UNATNDD
02810.1*A,7B9,,CT,1,ALL/ALL/0800-1800
02810.21*H,02CT,,CT,1,UNATNDD
02810.2*A,CT15,,CT,1,UNATNDD
02810.51*H,CT23,,CT,1,UNATNDD
02810.52*H,CT27,,CT,1,ALL/MON-FRI/0800-1600
02810.53*C,CT87,,CT,1,APR-DEC/ALL/0700-1800
02810.81*H,CT97,,CT,1,UNATNDD
02810.8*C,CT16,,CT,1,UNATNDD
02812.*H,CT41,,CT,1,UNATNDD
02814.01*H,CT75,,CT,1,UNATNDD
02814.*H,CT71,,CT,1,ON CALL
02816.49*H,CT02,,CT,1,UNATNDD
02816.5*H,CT38,,CT,1,UNATNDD
02817.*A,CT42,,CT,1,UNATNDD
02823.*A,GON,KGON,CT,1,ALL/ALL/0600- 2100
02825.51*H,CT40,,CT,1,ALL/ALL/DAWN-DUSK
02827.01*H,CT06,,CT,1,UNATNDD
02827.23*H,0CT9,,CT,1,ALL/ALL/ALL
02827.*A,HFD,KHFD,CT,2,DEC-MAR/ALL/0700-1900
02827.*A,HFD,KHFD,CT,1,APR-NOV/ALL/0700-2100
02829.01*H,0CT5,,CT,1,UNATNDD
02829.02*H,CT73,,CT,1,UNATNDD
02829.19*H,07CT,,CT,1,UNATTENDED OR IRREGULAR
02829.3*H,04CT,,CT,1,UNATNDD
02830.6*A,CT19,,CT,1,UNATNDD
02832.01*A,24CT,,CT,1,UNATNDD
02832.*A,CT43,,CT,1,UNATNDD
02840.*C,CT78,,CT,1,UNATNDD
02843.3*A,CT20,,CT,1,UNATNDD
02843.4*A,9B8,,CT,1,IREG
02843.7*H,14CT,,CT,1,UNATNDD
02844.01*H,CT95,,CT,1,UNATNDD
02844.*A,MMK,KMMK,CT,4,ALL/MON-SUN/0900-1700
02846.21*H,CT25,,CT,1,UNATNDD
02846.61*H,CT98,,CT,1,UNATNDD
02846.62*H,0CT6,,CT,1,UNATNDD
02847.2*H,CT46,,CT,1,ALL/MON-SAT/0900-2200
02852.01*H,69CT,,CT,1,UNATNDD
02852.*A,CT48,,CT,1,UNATNDD
02853.6*H,5CT1,,CT,1,UNATNDD
02856.01*H,0CT3,,CT,1,UNATNDD
02858.01*H,1CT2,,CT,1,ALL/ALL/ON CALL
02858.*A,HVN,KHVN,CT,1,ALL/ALL/0600-2200
02861.91*H,6Y2,,CT,1,UNATNDD
02861.95*A,CT52,,CT,1,UNATNDD
02861.9*A,11N,,CT,1,ALL/ALL/INTMNT
02862.98*A,CT24,,CT,1,UNATNDD
02865.11*H,CT56,,CT,1,ALL/MON-FRI/DALGT
02865.12*H,1CT0,,CT,1,UNATNDD
02865.13*H,5CT4,,CT,1,UNATNDD
02865.14*H,9CT1,,CT,1,UNATNDD
02865.*H,CT91,,CT,1,ALL/ALL/ALL
02866.*H,CT93,,CT,1,UNATNDD
02867.*A,5CT7,,CT,1,UNATNDD
02869.5*A,2DE3,,DE,1,UNATTENDED
02870.3*A,OXC,KOXC,CT,1,ALL/ALL/ALL
02880.*A,4B8,,CT,3,ALL/MON-FRI/0800-1900
02880.*A,4B8,,CT,4,ALL/SAT-SUN/0800-1800
02883.*H,31CT,,CT,1,IRREG
02884.01*H,CT92,,CT,1,UNATNDD
02886.1*A,C44,,CT,1,ALL/ALL/IREG
02887.1*H,CT28,,CT,1,UNATNDD
02888.*A,CT59,,CT,1,UNATNDD
02893.*H,0CT0,,CT,1,UNATNDD
02895.*H,CT89,,CT,1,ALL/ALL/ALL
02898.*A,4B9,,CT,1,ALL/ALL/0830-1700
02903.01*H,CT53,,CT,1,ALL/IREG/IREG
02906.3*H,5CT3,,CT,1,ALL/ALL/ALL
02907.7*H,CT00,,CT,1,UNATNDD
02907.8*A,64CT,,CT,1,ALL/ALL/ALL
02909.44*H,5CT8,,CT,1,ALL/ALL/0700-1900
02910.*H,CT10,,CT,1,UNATNDD
02912.3*A,CT80,,CT,1,UNATNDD
02913.5*H,JSD,KJSD,CT,1,ALL/MON-FRI/0800-SS
02913.5*H,JSD,KJSD,CT,2,ALL/SAT-SUN/0800-SS
02914.*H,N09,,CT,1,UNATNDD
02919.*H,05CT,,CT,1,UNATNDD
02921.*H,CT76,,CT,1,UNATNDD
02928.11*H,0CT1,,CT,1,ALL/ALL/ALL
02928.16*H,4C3,,CT,2,ALL/MON-FRI/08:30-17:00 LCL
02930.*A,7B6,,CT,1,ALL/ALL/DALGT
02931.*A,CT66,,CT,1,UNATNDD
02932.12*H,1CT3,,CT,1,UNATNDD
02932.1*A,N41,,CT,1,IREG
02944.01*H,CT69,,CT,1,UNATNDD
02944.02*H,0CT2,,CT,1,UNATNDD
02944.*A,IJD,KIJD,CT,1,UNATTENDED
02946.1*H,CT35,,CT,1,UNATNDD
02946.*A,BDL,KBDL,CT,1,ALL/ALL/ALL
02948.1*C,08CT,,CT,1,UNATNDD
02955.*A,DE14,,DE,1,UNATNDD
02963.*A,23DE,,DE,1,UNATNDD
02967.1*A,33N,,DE,1,ALL/ALL/0830-1630
02967.2*A,0N4,,DE,2,ALL/SAT-SUN/ON CALL
02967.2*A,0N4,,DE,1,ALL/MON-FRI/0800-1600
02967.3*H,64DE,,DE,1,ALL/ALL/ALL
02967.4*H,DE02,,DE,1,ALL/ALL/0800-2400
02967.5*H,DE24,,DE,1,IREG
02967.6*H,DE03,,DE,1,UNATNDD
02967.7*H,0N5,,DE,1,ALL/MON-FRI/0800-1630
02967.*A,DOV,KDOV,DE,1,ALL/ALL/ALL
02968.51*A,2DE2,,DE,1,UNATNDD
02968.5*A,D74,,DE,1,ALL/MON-FRI/0830-DUSK
02969.01*A,DE00,,DE,1,UNATNDD
02969.02*A,DE32,,DE,1,UNATNDD
02969.*A,0N6,,DE,1,ALL/MON-FRI/0800-1700
02970.71*H,CT62,,CT,1,IREG
02970.*A,GED,KGED,DE,1,ALL/ALL/0800-1800
02971.5*A,DE17,,DE,1,UNATNDD
02978.5*A,DE09,,DE,1,ALL/ALL/DALGT
02978.*A,N06,,DE,1,ALL/ALL/0800-DUSK
02981.01*A,1DE5,,DE,1,UNATNDD
02981.13*H,1DE4,,DE,1,ALL/ALL/ALL
02981.1*A,EVY,KEVY,DE,1,ALL/ALL/0700-1900
02982.4*H,39DE,,DE,1,ALL/ALL/ALL
02984.2*A,DE23,,DE,1,UNATNDD
02984.*A,DE25,,DE,1,ALL/ALL/DAWN-DUSK
02987.*H,DE26,,DE,1,ALL/ALL/ALL
02992.5*A,DE21,,DE,1,UNATNDD
02993.*A,DE15,,DE,1,UNATNDD
02995.12*A,DE29,,DE,1,UNATNDD
02995.1*A,38N,,DE,1,IREG
02997.01*A,DE20,,DE,1,ALL/ALL/DALGT
02997.02*A,DE34,,DE,1,UNATNDD
02999.02*H,DE30,,DE,1,UNATNDD
02999.12*H,16DE,,DE,1,ALL/ALL/ALL
02999.23*H,DE16,,DE,1,UNATNDD
02999.*A,ILG,KILG,DE,1,ALL/ALL/ALL
03000.5*A,15N,,DE,1,ALL/ALL/ALL
03001.21*H,DC08,,DC,1,ALL/ALL/ALL
03001.22*H,DC17,,DC,1,ALL/ALL/ALL
03001.4*H,DC01,,DC,1,UNATNDD
03001.6*H,DC03,,DC,1,ALL/ALL/0600-0200
03001.7*H,DC52,,DC,1,UNATNDD
03001.8*H,DC16,,DC,1,UNATNDD
03001.*A,DCA,KDCA,DC,1,ALL/ALL/ALL
03002.*A,IAD,KIAD,DC,1,ALL/ALL/ALL
03003.*A,HEF,KHEF,DC,1,ALL/ALL/0630-2230
03004.*H,DC04,,DC,1,UNATNDD
03006.10*H,DC06,,DC,1,UNATNDD
03006.11*H,DC07,,DC,1,UNATNDD
03006.3*H,DC09,,DC,1,ALL/ALL/ALL
03006.4*H,JPN,KJPN,DC,1,ALL/MON-FRI/1230-2230Z++
03006.8*H,09W,,DC,1,ALL/MON-FRI/0700-1900
03006.8*H,09W,,DC,2,ALL/SAT-SUN/1100-1900
03010.01*A,63FA,,FL,1,UNATNDD
03010.1*A,63FD,,FL,1,UNATNDD
03010.*A,FA62,,FL,1,UNATNDD
03014.5*H,0FL4,,FL,1,UNATNDD
03015.02*C,0FA9,,FL,1,UNATNDD
03015.1*H,01FD,,FL,1,ALL/ALL/ALL
03015.*C,3FD9,,FL,1,UNATNDD
03016.03*A,50FD,,FL,1,UNATNDD
03016.04*H,FD60,,FL,1,UNATNDD
03017.*A,87FL,,FL,1,UNATNDD
03025.1*A,F47,,FL,1,UNATNDD
03025.*A,AAF,KAAF,FL,1,ALL/ALL/0700-1900
03027.11*A,FL57,,FL,2,UNATNDD
03027.12*A,X04,,FL,1,ALL/ALL/0800-1800
03030.01*H,FD85,,FL,1,ALL/ALL/ALL
03030.08*A,FL40,,FL,1,UNATTND/UNATTND/UNATTND
03030.11*A,26FD,,FL,1,ALL/ALL/DALGT
03030.13*A,0FA1,,FL,1,UNATNDD
03030.14*A,FA64,,FL,1,UNATNDD
03030.15*A,8FL1,,FL,1,ALL/ALL/0800-1600
03030.*A,X06,,FL,1,ALL/ALL/0800-1700
03033.21*A,FL66,,FL,1,UNATNDD
03033.23*H,FA57,,FL,1,UNATNDD
03033.2*A,0J8,,FL,1,ALL/MON-SAT/0800-1700
03038.*H,FA66,,FL,1,UNATNDD
03039.*H,1FD3,,FL,1,UNATNDD
03040.01*C,1FL0,,FL,1,UNATNDD
03040.02*H,FA53,,FL,1,IREG
03040.*A,FL16,,FL,1,UNATNDD
03041.05*H,1FD5,,FL,1,UNATNDD/UNATNDD/UNATNDD
03042.1*A,FL01,,FL,1,UNATNDD
03042.*A,AVO,KAVO,FL,1,ALL/ALL/0730-1730
03043.*A,AGR,KAGR,FL,1,ALL/ALL/ALL
03050.11*A,55FD,,FL,1,UNATNDD
03050.1*A,18FD,,FL,1,UNATNDD
03052.01*H,FD65,,FL,1,ALL/ALL/ON CALL
03052.03*H,1FL7,,FL,1,UNATNDD
03052.*A,BOW,KBOW,FL,1,ALL/ALL/0600-1800
03053.61*A,6FL9,,FL,1,ALL/ALL/ALL
03053.63*A,37FL,,FL,1,UNATNDD
03053.64*A,86FD,,FL,1,IRREG
03053.6*A,9FL5,,FL,1,UNATNDD
03054.*A,X10,,FL,1,UNATNDD
03055.11*A,FA69,,FL,1,UNATNDD
03055.14*H,9FA2,,FL,1,UNATNDD
03055.3*C,0FL5,,FL,1,UNATNDD
03055.61*A,8FL3,,FL,1,UNATNDD
03055.62*A,8FL2,,FL,1,UNATNDD
03055.63*A,FL58,,FL,1,IREG
03055.69*H,19FL,,FL,1,UNATNDD
03055.6*A,2FA2,,FL,1,UNATNDD
03055.71*H,7FL0,,FL,1,UNATNDD
03055.72*C,FD79,,FL,1,UNATNDD
03057.13*A,F95,,FL,2,ALL/MON-FRI/0700-1500
03059.*H,5FD6,,FL,1,UNATNDD
03060.03*H,58FL,,FL,1,UNATNDD
03060.05*H,3FD8,,FL,1,ALL/ALL/ALL
03060.*A,BCT,KBCT,FL,1,ALL/ALL/ALL
03063.51*A,BCR,KBCR,FL,2,ALL/MON-FRI/0830-1630
03063.54*A,FA55,,FL,1,ALL/ALL/DALGT
03063.55*H,7FD5,,FL,1,UNATNDD
03071.01*G,FA44,,FL,1,UNATNDD
03071.02*H,88FD,,FL,1,UNATNDD
03071.03*H,FL47,,FL,1,UNATNDD
03075.01*H,7FL9,,FL,1,UNATNND
03075.02*H,FL45,,FL,1,ALL/ALL/ALL
03075.71*A,FL78,,FL,1,ALL/ALL/ALL
03075.72*H,5FL3,,FL,1,UNATNDD
03075.81*A,FD71,,FL,1,UNATNDD
03075.82*A,2FD0,,FL,1,IREG
03075.83*A,FL02,,FL,1,UNATNDD
03075.86*A,FD16,,FL,1,UNATNDD
03075.*H,5FL2,,FL,1,UNATNDD
03083.01*A,X05,,FL,3,ALL/ALL/0800-1730
03083.03*A,5FD7,,FL,1,UNATNDD
03083.2*A,47FL,,FL,1,UNATNDD
03083.*A,BKV,KBKV,FL,1,ALL/ALL/0600-2200
